page|76
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|1,708,118,502.50|2,156,879,878.61
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|13,914,139.85|20,482,124.08
收到其他与经营活动有关的现金|82,428,487.03|95,454,962.09
经营活动现金流入小计|1,804,461,129.38|2,272,816,964.78
购买商品、接受劳务支付的现金|594,435,964.80|776,985,342.34
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|471,262,415.76|366,415,829.18
支付的各项税费|153,503,302.16|177,565,965.23
支付其他与经营活动有关的现金|308,189,049.04|318,507,474.96
page|77
经营活动现金流出小计|1,527,390,731.76|1,639,474,611.71
经营活动产生的现金流量净额|277,070,397.62|633,342,353.07
二、投资活动产生的现金流量：||
收回投资收到的现金|178,938,099.35|46,623,670.68
取得投资收益收到的现金|5,628,117.01|3,083,141.53
处置固定资产、无形资产和其他长期资产收回的现金净额|259,796.55|125,848.62
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|2,315,800,936.53|1,843,769,002.30
投资活动现金流入小计|2,500,626,949.44|1,893,601,663.13
购建固定资产、无形资产和其他长期资产支付的现金|44,170,054.85|15,642,671.62
投资支付的现金|427,390,298.38|146,581,556.50
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|694,991.53|
支付其他与投资活动有关的现金|1,953,862,553.59|2,178,872,799.15
投资活动现金流出小计|2,426,117,898.35|2,341,097,027.27
投资活动产生的现金流量净额|74,509,051.09|-447,495,364.14
三、筹资活动产生的现金流量：||
吸收投资收到的现金|19,923,000.00|8,015,797.48
其中：子公司吸收少数股东投资收到的现金|19,923,000.00|4,000,000.00
取得借款收到的现金||
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|19,923,000.00|8,015,797.48
偿还债务支付的现金||
分配股利、利润或偿付利息支付的现金|187,800,000.00|178,807,042.74
其中：子公司支付给少数股东的股利、利润|80,000,000.00|40,000,000.00
支付其他与筹资活动有关的现金|239,088,207.71|126,351,938.60
筹资活动现金流出小计|426,888,207.71|305,158,981.34
筹资活动产生的现金流量净额|-406,965,207.71|-297,143,183.86
四、汇率变动对现金及现金等价物的|8,704.91|-285,740.78
page|78
影响||
五、现金及现金等价物净增加额|-55,377,054.09|-111,581,935.71
加：期初现金及现金等价物余额|1,623,186,639.18|1,734,768,574.89
六、期末现金及现金等价物余额|1,567,809,585.09|1,623,186,639.18
