page|89
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|175,751,030.90|161,012,473.06
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
page|90
收到的税费返还|4,912,407.49|5,606,017.95
收到其他与经营活动有关的现金|11,897,488.01|11,954,099.97
经营活动现金流入小计|192,560,926.40|178,572,590.98
购买商品、接受劳务支付的现金|59,644,590.04|56,626,719.08
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|58,039,512.41|45,680,838.44
支付的各项税费|18,176,743.80|19,427,787.47
支付其他与经营活动有关的现金|27,660,953.25|19,511,072.85
经营活动现金流出小计|163,521,799.50|141,246,417.84
经营活动产生的现金流量净额|29,039,126.90|37,326,173.14
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|7,300.00|32,000.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|178,486,486.40|216,324,126.78
投资活动现金流入小计|178,493,786.40|216,356,126.78
购建固定资产、无形资产和其他长期资产支付的现金|22,371,626.10|42,294,824.86
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|188,000,000.00|220,000,000.00
投资活动现金流出小计|210,371,626.10|262,294,824.86
投资活动产生的现金流量净额|-31,877,839.70|-45,938,698.08
三、筹资活动产生的现金流量：||
page|91
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||
收到其他与筹资活动有关的现金||20,066,108.90
筹资活动现金流入小计||20,066,108.90
偿还债务支付的现金||19,500,000.00
分配股利、利润或偿付利息支付的现金||44,261.26
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||
筹资活动现金流出小计||19,544,261.26
筹资活动产生的现金流量净额||521,847.64
四、汇率变动对现金及现金等价物的影响|-137,782.65|-39,536.34
五、现金及现金等价物净增加额|-2,976,495.45|-8,130,213.64
加：期初现金及现金等价物余额|18,707,475.09|26,837,688.73
六、期末现金及现金等价物余额|15,730,979.64|18,707,475.09
