page|124
项目|2019 年度|2018 年度
一、营业总收入|1,276,629,503.36|1,267,806,109.89
其中：营业收入|1,276,629,503.36|1,267,806,109.89
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,174,796,269.11|1,065,639,287.99
其中：营业成本|848,956,259.38|828,867,731.92
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|4,111,800.67|4,369,176.15
销售费用|63,636,562.64|33,840,930.98
管理费用|143,997,046.50|98,462,976.24
研发费用|59,300,319.48|52,868,402.34
财务费用|54,794,280.44|47,230,070.36
其中：利息费用|55,894,188.97|49,035,673.36
利息收入|5,979,372.46|2,420,137.70
加：其他收益|34,966,437.86|24,950,277.56
page|125
投资收益（损失以“－”号填列）|2,234,452.67|1,023,344.25
其中：对联营企业和合营企业的投资收益|-35,640.76|2,000.17
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-51,165,914.20|
资产减值损失（损失以“-”号填列）|-559,693,909.26|-155,972,049.02
资产处置收益（损失以“-”号填列）||-88,405.40
三、营业利润（亏损以“－”号填列）|-471,825,698.68|72,079,989.29
加：营业外收入|1,451,248.33|269,492.72
减：营业外支出|3,877,470.06|775,407.54
四、利润总额（亏损总额以“－”号填列）|-474,251,920.41|71,574,074.47
减：所得税费用|-5,541,891.50|-2,376,857.77
五、净利润（净亏损以“－”号填列）|-468,710,028.91|73,950,932.24
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-468,710,028.91|73,950,932.24
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|-470,939,073.62|75,299,129.76
2.少数股东损益|2,229,044.71|-1,348,197.52
六、其他综合收益的税后净额|-4,282.90|884,004.87
归属母公司所有者的其他综合收益的税后净额|-4,282.90|884,004.87
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变||
page|126
动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-4,282.90|884,004.87
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|-4,282.90|884,004.87
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|-468,714,311.81|74,834,937.11
归属于母公司所有者的综合收益总额|-470,943,356.52|76,183,134.63
归属于少数股东的综合收益总额|2,229,044.71|-1,348,197.52
八、每股收益：||
（一）基本每股收益|-0.6020|0.0967
（二）稀释每股收益|-0.6020|0.0967
