page|81
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七（1）|8,356,153,735|6,365,973,126
结算备付金|||
拆出资金|||
交易性金融资产|七（2）|860,894,383|387,261,777
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|七（3）|85,110|47,542,362
应收票据|七（4）|20,011,631|710,399,926
应收账款|七（5）|3,457,428,686|3,593,707,590
应收款项融资|七（6）|784,417,775|
预付款项|七（7）|222,501,827|220,126,772
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七（8）|472,000,751|510,753,825
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七（9）|3,280,465,303|3,241,739,977
合同资产|||
持有待售资产|||
一年内到期的非流动资产|七（12）||190,000,000
其他流动资产|七（13）|320,404,434|313,634,314
流动资产合计||17,774,363,635|15,581,139,669
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|七（16）|180,000,000|
长期股权投资|七（17）|199,805,151|205,738,050
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七（21）|14,520,366,436|13,629,887,296
在建工程|七（22）|2,901,032,823|2,936,812,592
生产性生物资产|||
油气资产|||
使用权资产|七（25）|701,329,178|
无形资产|七（26）|1,337,282,523|1,219,578,721
page|82
开发支出|||
商誉|七（28）|154,940,513|153,707,174
长期待摊费用|七（29）|538,654,362|510,271,130
递延所得税资产|七（30）|518,504,986|252,461,078
其他非流动资产|七（31）||842,960
非流动资产合计||21,051,915,972|18,909,299,001
资产总计||38,826,279,607|34,490,438,670
流动负债：|||
短期借款|七（32）|8,491,599,785|5,567,436,870
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|七（34）|3,795,000|3,077,741
应付票据|七（35）|860,739,543|1,164,568,692
应付账款|七（36）|1,236,580,062|1,300,781,289
预收款项|||
合同负债|七（38）|695,400,166|594,503,112
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七（39）|473,972,041|483,015,711
应交税费|七（40）|344,357,096|449,716,675
其他应付款|七（41）|1,555,660,964|1,177,199,622
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七（43）|1,123,793,163|1,315,823,251
其他流动负债|||300,984,971
流动负债合计||14,785,897,820|12,357,107,934
非流动负债：|||
保险合同准备金|||
长期借款|七（45）|1,193,000,000|1,246,875,075
应付债券|||
其中：优先股|||
永续债|||
租赁负债|七（47）|571,281,590|
长期应付款|七（48）|72,490,512|
长期应付职工薪酬|||
预计负债|||
递延收益|七（51）|673,448,373|536,834,206
递延所得税负债|七（30）|161,079,790|159,748,849
其他非流动负债|||
非流动负债合计||2,671,300,265|1,943,458,130
page|83
负债合计||17,457,198,085|14,300,566,064
所有者权益（或股东权益）：|||
实收资本（或股本）|七（53）|2,508,617,532|2,508,617,532
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七（55）|6,223,078,157|6,223,078,157
减：库存股|||
其他综合收益|七（57）|121,015,957|-41,473,936
专项储备|||
盈余公积|七（59）|2,688,959,735|2,350,361,581
一般风险准备|||
未分配利润|七（60）|9,828,694,828|9,150,322,858
归属于母公司所有者权益（或股东权益）合计||21,370,366,209|20,190,906,192
少数股东权益||-1,284,687|-1,033,586
所有者权益（或股东权益）合计||21,369,081,522|20,189,872,606
负债和所有者权益（或股东权益）总计||38,826,279,607|34,490,438,670
