page|115
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|3,513,212,482.78|3,250,237,662.57
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|10,526,447.83|3,208,988.92
收到其他与经营活动有关的现金|60,691,402.96|45,136,913.99
经营活动现金流入小计|3,584,430,333.57|3,298,583,565.48
购买商品、接受劳务支付的现金|1,997,166,619.25|1,934,410,460.52
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|356,142,127.70|340,702,600.61
支付的各项税费|236,456,865.12|221,316,819.10
支付其他与经营活动有关的现金|393,494,000.67|383,350,453.53
page|116
经营活动现金流出小计|2,983,259,612.74|2,879,780,333.76
经营活动产生的现金流量净额|601,170,720.83|418,803,231.72
二、投资活动产生的现金流量：||
收回投资收到的现金|161,000,000.00|1,007,641,763.00
取得投资收益收到的现金|24,859,467.95|7,656,110.57
处置固定资产、无形资产和其他长期资产收回的现金净额|11,121,103.03|11,105,315.04
处置子公司及其他营业单位收到的现金净额|17,018,377.06|6,250,000.00
收到其他与投资活动有关的现金|43,898,465.00|29,552,271.06
投资活动现金流入小计|257,897,413.04|1,062,205,459.67
购建固定资产、无形资产和其他长期资产支付的现金|363,203,049.03|446,217,543.99
投资支付的现金|164,600,000.00|843,310,900.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||178,635,600.00
支付其他与投资活动有关的现金|18,646,336.50|45,180,366.21
投资活动现金流出小计|546,449,385.53|1,513,344,410.20
投资活动产生的现金流量净额|-288,551,972.49|-451,138,950.53
三、筹资活动产生的现金流量：||
吸收投资收到的现金|5,689,118.01|1,313,637.00
其中：子公司吸收少数股东投资收到的现金|5,689,118.01|1,313,637.00
取得借款收到的现金|2,083,000,000.00|1,656,490,000.00
收到其他与筹资活动有关的现金|40,243,538.45|772,916,399.93
筹资活动现金流入小计|2,128,932,656.46|2,430,720,036.93
偿还债务支付的现金|1,869,880,000.00|1,388,800,000.00
分配股利、利润或偿付利息支付的现金|128,628,768.04|116,398,013.62
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|421,178,356.01|858,853,491.54
筹资活动现金流出小计|2,419,687,124.05|2,364,051,505.16
筹资活动产生的现金流量净额|-290,754,467.59|66,668,531.77
四、汇率变动对现金及现金等价物的|-798,254.49|2,341,724.34
page|117
影响||
五、现金及现金等价物净增加额|21,066,026.26|36,674,537.30
加：期初现金及现金等价物余额|415,519,412.93|378,844,875.63
六、期末现金及现金等价物余额|436,585,439.19|415,519,412.93
