page|120
项目|附注|2019 年度|2018 年度
一、营业总收入||564,477,015.80|458,071,270.47
其中：营业收入|七、59|564,477,015.80|458,071,270.47
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||363,369,712.32|300,508,706.89
其中：营业成本|七、59|37,981,900.89|26,172,933.25
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、60|3,875,967.90|6,071,677.47
销售费用|七、61|98,877,501.43|82,494,924.16
管理费用|七、62|49,910,394.14|50,152,190.24
研发费用|七、63|196,155,671.07|148,526,413.54
财务费用|七、64|-23,431,723.11|-12,909,431.77
其中：利息费用|七、64||172,637.67
利息收入|七、64|23,888,051.70|10,276,356.00
加：其他收益|七、65|38,738,224.66|35,349,719.28
page|121
投资收益（损失以“－”号填列）|七、66|-17,137,500.01|11,609,883.62
其中：对联营企业和合营企业的投资收益|七、66|-25,143,126.73|11,609,883.62
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、68|3,057,635.30|
信用减值损失（损失以“-”号填列）|七、69|-1,669,821.40|
资产减值损失（损失以“-”号填列）|七、70||2,581,698.02
资产处置收益（损失以“－”号填列）|七、71|-81,019.17|-149,240.29
三、营业利润（亏损以“－”号填列）||224,014,822.86|206,954,624.21
加：营业外收入|七、72|21,844,486.84|255,627.71
减：营业外支出|七、73|720,983.17|17,938,543.00
四、利润总额（亏损总额以“－”号填列）||245,138,326.53|189,271,708.92
减：所得税费用|七、74|34,771,713.19|31,719,898.51
五、净利润（净亏损以“－”号填列）||210,366,613.34|157,551,810.41
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||210,366,613.34|157,551,810.41
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||210,366,613.34|157,551,810.41
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|七、75|6,078,219.09|6,848,208.65
（一）归属母公司所有者的其他综合收益的税后净额|七、75|6,078,219.09|6,848,208.65
1．不能重分类进损益的其他综合收益|七、75|-366,469.71|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|七、75|-366,469.71|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合|七、75|6,444,688.80|6,848,208.65
page|122
收益|||
（1）权益法下可转损益的其他综合收益|七、75|2,850.51|
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|七、75|6,441,838.29|6,848,208.65
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||216,444,832.43|164,400,019.06
（一）归属于母公司所有者的综合收益总额||216,444,832.43|164,400,019.06
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.55|0.44
（二）稀释每股收益(元/股)||0.55|0.44
