page|75
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||3,598,719,125.28|4,015,467,608.28
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|76
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||1,887,668.80
收到其他与经营活动有关的现金|七、76|51,336,369.88|96,816,861.59
经营活动现金流入小计||3,650,055,495.16|4,114,172,138.67
购买商品、接受劳务支付的现金||505,209,128.85|746,134,057.56
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||709,350,795.98|974,409,616.03
支付的各项税费||390,461,955.79|526,782,543.15
支付其他与经营活动有关的现金|七、76|1,682,319,871.16|1,652,548,490.74
经营活动现金流出小计||3,287,341,751.78|3,899,874,707.48
经营活动产生的现金流量净额||362,713,743.38|214,297,431.19
二、投资活动产生的现金流量：|||
收回投资收到的现金||896,560.74|678,905.78
取得投资收益收到的现金||658,463.02|344,587.43
处置固定资产、无形资产和其他长期资产收回的现金净额||11,004,718.11|9,216,672.53
处置子公司及其他营业单位收到的现金净额||593,600,402.85|-139,130.60
收到其他与投资活动有关的现金|七、76|143,547,380.00|200,000,000.00
投资活动现金流入小计||749,707,524.72|210,101,035.14
购建固定资产、无形资产和其他长期资产支付的现金||201,275,760.42|321,327,489.58
投资支付的现金|||115,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||-3,381,038.60
支付其他与投资活动有关的现金|||133,819,073.30
投资活动现金流出小计||201,275,760.42|566,765,524.28
投资活动产生的现金流量净额||548,431,764.30|-356,664,489.14
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||11,900,000.00
其中：子公司吸收少数股东投资收到的现金|||11,900,000.00
取得借款收到的现金||900,000,000.00|1,101,568,616.67
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||900,000,000.00|1,113,468,616.67
偿还债务支付的现金||1,075,621,670.19|1,296,764,019.91
分配股利、利润或偿付利息支付的现金||65,501,175.41|129,528,438.63
page|77
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、76|92,831,893.91|240,465,558.42
筹资活动现金流出小计||1,233,954,739.51|1,666,758,016.96
筹资活动产生的现金流量净额||-333,954,739.51|-553,289,400.29
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||577,190,768.17|-695,656,458.24
加：期初现金及现金等价物余额||804,378,306.91|1,500,034,765.15
六、期末现金及现金等价物余额||1,381,569,075.08|804,378,306.91
