page|101
项目|附注|2019 年度|2018 年度
一、营业总收入||16,727,313,884.21|15,599,919,717.89
其中：营业收入|七、37|16,727,313,884.21|15,599,919,717.89
二、营业总成本||15,956,984,146.96|14,813,583,176.99
其中：营业成本|七、37|12,784,576,593.82|11,967,668,077.01
税金及附加|七、38|236,837,626.89|220,898,476.56
销售费用|七、39|741,548,260.83|695,456,095.69
管理费用|七、40|1,678,585,420.01|1,480,151,036.43
研发费用|||
财务费用|七、41|515,436,245.41|449,409,491.30
其中：利息费用||449,604,206.21|393,674,267.09
利息收入||5,691,235.02|7,914,696.20
加：其他收益|七、42|16,384,173.67|24,255,081.71
投资收益（损失以“－”号填列）|七、43|-5,503,185.34|18,099,824.75
其中：对联营企业和合营企业的投资收益||-6,548,978.45|-13,970,975.50
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、44|15,446,100.05|
信用减值损失（损失以“-”号填列）|七、45|4,649,722.87|
资产减值损失（损失以“-”号填列）|七、46|-20,595.76|1,446,259.35
资产处置收益（损失以“－”号填列）|七、47|10,164,299.09|2,722,688.57
三、营业利润（亏损以“－”号填列）||811,450,251.83|832,860,395.28
加：营业外收入|七、48|15,504,347.88|11,602,555.82
减：营业外支出|七、49|23,493,132.10|24,296,540.43
四、利润总额（亏损总额以“－”号填列）||803,461,467.61|820,166,410.67
减：所得税费用|七、50|203,867,424.53|210,597,026.90
五、净利润（净亏损以“－”号填列）||599,594,043.08|609,569,383.77
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||599,594,043.08|609,569,383.77
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||238,410,098.49|259,778,924.66
page|102
（净亏损以“-”号填列）|||
2.少数股东损益（净亏损以“-”号填列）||361,183,944.59|349,790,459.11
六、其他综合收益的税后净额|七、51|183,652.22|-4,089,633.48
（一）归属母公司所有者的其他综合收益的税后净额||92,754.11|-3,591,115.31
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||92,754.11|-3,591,115.31
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-3,776,485.84
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||92,754.11|185,370.53
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||90,898.11|-498,518.17
七、综合收益总额||599,777,695.30|605,479,750.29
（一）归属于母公司所有者的综合收益总额||238,502,852.60|256,187,809.35
（二）归属于少数股东的综合收益总额||361,274,842.70|349,291,940.94
八、每股收益：|||
（一）基本每股收益(元/股)||1.50|1.63
（二）稀释每股收益(元/股)||1.50|1.63
