page|84
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|519,433,682.39|676,746,229.93
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
page|85
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|17,968,160.84|6,011,406.33
收到其他与经营活动有关的现金|8,490,057.79|21,581,639.03
经营活动现金流入小计|545,891,901.02|704,339,275.29
购买商品、接受劳务支付的现金|251,209,732.98|349,720,402.02
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|112,732,903.56|107,243,383.72
支付的各项税费|45,121,799.26|37,281,597.36
支付其他与经营活动有关的现金|114,525,286.78|73,006,311.01
经营活动现金流出小计|523,589,722.58|567,251,694.11
经营活动产生的现金流量净额|22,302,178.44|137,087,581.18
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|825,168.50|609,400.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|825,168.50|609,400.00
购建固定资产、无形资产和其他长期资产支付的现金|5,237,363.52|8,839,075.95
投资支付的现金||386,999,999.96
质押贷款净增加额||
page|86
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|5,237,363.52|395,839,075.91
投资活动产生的现金流量净额|-4,412,195.02|-395,229,675.91
三、筹资活动产生的现金流量：||
吸收投资收到的现金||391,647,997.47
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|234,500,000.00|305,500,000.00
收到其他与筹资活动有关的现金|64,180,169.17|
筹资活动现金流入小计|298,680,169.17|697,147,997.47
偿还债务支付的现金|274,500,000.00|336,500,000.00
分配股利、利润或偿付利息支付的现金|27,318,161.86|20,254,325.23
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||
筹资活动现金流出小计|301,818,161.86|356,754,325.23
筹资活动产生的现金流量净额|-3,137,992.69|340,393,672.24
四、汇率变动对现金及现金等价物的影响|4,356,037.21|5,726,642.05
五、现金及现金等价物净增加额|19,108,027.94|87,978,219.56
加：期初现金及现金等价物余额|241,678,019.84|153,699,800.28
六、期末现金及现金等价物余额|260,786,047.78|241,678,019.84
