page|72
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||299,198,140.86|250,250,730.60
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||6,309,384.32|3,767,918.19
经营活动现金流入小计||305,507,525.18|254,018,648.79
购买商品、接受劳务支付的现金||127,316,735.98|98,881,518.47
客户贷款及垫款净增加额|||
存放中央银行和同业款|||
page|73
项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||37,191,212.61|30,875,736.32
支付的各项税费||34,183,354.51|33,921,825.26
支付其他与经营活动有关的现金||24,421,023.58|17,537,290.54
经营活动现金流出小计||223,112,326.68|181,216,370.59
经营活动产生的现金流量净额||82,395,198.50|72,802,278.20
二、投资活动产生的现金流量：|||
收回投资收到的现金||190,000,000.00|10,000,000.00
取得投资收益收到的现金||1,695,019.82|111,222.22
处置固定资产、无形资产和其他长期资产收回的现金净额||60,000.00|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||191,755,019.82|10,111,222.22
购建固定资产、无形资产和其他长期资产支付的现金||5,721,166.80|5,003,059.15
投资支付的现金||560,000,000.00|10,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||565,721,166.80|15,003,059.15
投资活动产生的现金流量净额||-373,966,146.98|-4,891,836.93
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||387,162,000.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
page|74
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||387,162,000.00|
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||45,000,000.00|35,000,000.00
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||45,971,451.28|
筹资活动现金流出小计||90,971,451.28|35,000,000.00
筹资活动产生的现金流量净额||296,190,548.72|-35,000,000.00
四、汇率变动对现金及现金等价物的影响||-1,144.49|-1,447.47
五、现金及现金等价物净增加额||4,618,455.75|32,908,993.80
加：期初现金及现金等价物余额||134,031,718.68|101,122,724.88
六、期末现金及现金等价物余额||138,650,174.43|134,031,718.68
