page|67
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|102,695,985.53|155,359,079.64
结算备付金||
拆出资金||
交易性金融资产|618,654.46|
page|68
以公允价值计量且其变动计入当期损益的金融资产||20,611,269.85
衍生金融资产||
应收票据|6,438,914.35|1,252,352.72
应收账款|166,691,730.08|66,845,148.17
应收款项融资|16,691,949.77|
预付款项|2,695,459.69|4,362,220.09
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|2,979,865.19|2,861,691.68
其中：应收利息||
应收股利||
买入返售金融资产||
存货|129,235,832.15|41,370,497.72
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|49,407,861.59|100,631,826.54
流动资产合计|477,456,252.81|393,294,086.41
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|254,539,365.91|96,111,115.79
在建工程|14,527,484.11|4,587,305.56
生产性生物资产||
page|69
油气资产||
使用权资产||
无形资产|76,012,345.24|21,908,919.24
开发支出||
商誉|68,609,652.26|
长期待摊费用|1,115,979.83|
递延所得税资产|4,803,236.44|942,231.90
其他非流动资产|10,013,643.42|826,220.00
非流动资产合计|429,621,707.21|124,375,792.49
资产总计|907,077,960.02|517,669,878.90
流动负债：||
短期借款|29,928,083.33|28,528,317.15
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||10,664.93
衍生金融负债||
应付票据|28,697,828.26|
应付账款|126,407,537.06|51,399,377.16
预收款项|1,187,727.66|682,829.68
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|39,485,560.97|6,844,284.45
应交税费|12,662,106.31|1,639,347.98
其他应付款|7,739,937.59|3,355,041.17
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|70
一年内到期的非流动负债|24,183,501.81|
其他流动负债||
流动负债合计|270,292,282.99|92,459,862.52
非流动负债：||
保险合同准备金||
长期借款|190,885,772.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|7,763,365.07|
递延收益|3,089,000.84|2,212,471.16
递延所得税负债|5,382,721.92|
其他非流动负债||
非流动负债合计|207,120,859.83|2,212,471.16
负债合计|477,413,142.82|94,672,333.68
所有者权益：||
股本|200,000,000.00|200,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|132,935,330.59|132,935,330.59
减：库存股||
其他综合收益|-131,410.01|121,623.12
专项储备||
盈余公积|15,743,253.21|14,415,892.42
一般风险准备||
未分配利润|82,285,324.37|75,776,855.27
归属于母公司所有者权益合计|430,832,498.16|423,249,701.40
少数股东权益|-1,167,680.96|-252,156.18
所有者权益合计|429,664,817.20|422,997,545.22
负债和所有者权益总计|907,077,960.02|517,669,878.90
