page|68
项目|2019 年度|2018 年度
一、营业总收入|15,547,874,380.83|15,208,464,606.83
其中：营业收入|15,547,874,380.83|15,208,464,606.83
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|15,408,089,492.60|15,089,571,977.40
其中：营业成本|12,076,382,079.74|11,787,991,907.93
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|76,621,742.62|76,019,886.47
销售费用|2,751,922,485.73|2,745,404,009.37
管理费用|473,207,808.81|468,183,227.52
page|69
研发费用|1,441,415.54|
财务费用|28,513,960.16|11,972,946.11
其中：利息费用|24,923,319.21|17,347,473.95
利息收入|35,487,691.70|37,382,441.55
加：其他收益|13,180,938.62|42,214,792.70
投资收益（损失以“－”号填列）|-7,105,542.94|-6,750,355.17
其中：对联营企业和合营企业的投资收益|-16,173,321.06|-7,616,511.28
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-1,967,349.80|
资产减值损失（损失以“-”号填列）|-14,443,280.80|-5,640,859.06
资产处置收益（损失以“-”号填列）|-3,499,236.95|540,778,868.07
三、营业利润（亏损以“－”号填列）|125,950,416.36|689,495,075.97
加：营业外收入|6,229,140.11|2,303,938.89
减：营业外支出|51,991,304.70|61,354,364.24
四、利润总额（亏损总额以“－”号填列）|80,188,251.77|630,444,650.62
减：所得税费用|67,213,989.81|193,149,910.73
五、净利润（净亏损以“－”号填列）|12,974,261.96|437,294,739.89
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|12,974,261.96|437,294,739.89
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|10,196,510.39|430,946,836.68
2.少数股东损益|2,777,751.57|6,347,903.21
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
page|70
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|12,974,261.96|437,294,739.89
归属于母公司所有者的综合收益总额|10,196,510.39|430,946,836.68
归属于少数股东的综合收益总额|2,777,751.57|6,347,903.21
八、每股收益：||
（一）基本每股收益|0.01|0.63
（二）稀释每股收益|0.01|0.63
