page|105
项目|2019 年度|2018 年度
一、营业总收入|2,113,851,319.88|2,014,969,813.68
其中：营业收入|2,113,851,319.88|2,014,969,813.68
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,939,562,479.04|1,834,132,014.60
其中：营业成本|1,387,274,882.99|1,313,366,085.66
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|19,353,285.28|19,671,285.60
销售费用|243,563,097.85|239,316,543.18
管理费用|152,081,021.16|149,186,991.67
研发费用|105,197,685.36|85,923,348.28
财务费用|32,092,506.40|26,667,760.21
page|106
其中：利息费用|34,851,508.38|30,820,975.38
利息收入|1,095,176.37|2,509,089.76
加：其他收益|35,079,250.61|28,542,870.39
投资收益（损失以“－”号填列）|15,751,636.18|10,208,418.97
其中：对联营企业和合营企业的投资收益|18,497,293.56|9,775,542.22
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|195,338.00|
信用减值损失（损失以“-”号填列）|-3,351,527.10|
资产减值损失（损失以“-”号填列）|-3,054,527.73|-11,724,980.79
资产处置收益（损失以“-”号填列）||
三、营业利润（亏损以“－”号填列）|218,909,010.80|207,864,107.65
加：营业外收入|1,787,238.00|1,981,563.97
减：营业外支出|2,062,500.44|2,654,261.36
四、利润总额（亏损总额以“－”号填列）|218,633,748.36|207,191,410.26
减：所得税费用|22,370,574.85|27,145,494.68
五、净利润（净亏损以“－”号填列）|196,263,173.51|180,045,915.58
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|196,263,173.51|180,045,915.58
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|192,830,181.03|175,343,828.23
2.少数股东损益|3,432,992.48|4,702,087.35
六、其他综合收益的税后净额|-2,195,470.65|-1,896,469.53
归属母公司所有者的其他综合收益的税后净额|-2,192,316.59|-1,860,552.05
page|107
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-2,192,316.59|-1,860,552.05
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|-2,192,316.59|-1,860,552.05
9.其他||
归属于少数股东的其他综合收益的税后净额|-3,154.06|-35,917.48
七、综合收益总额|194,067,702.86|178,149,446.05
归属于母公司所有者的综合收益总额|190,637,864.44|173,483,276.18
归属于少数股东的综合收益总额|3,429,838.42|4,666,169.87
八、每股收益：||
（一）基本每股收益|0.45|0.41
（二）稀释每股收益|0.45|0.41
