page|58
项目|附注|2019 年度|2018 年度
一、营业总收入||982,372,019.19|954,529,650.87
其中：营业收入||982,372,019.19|954,529,650.87
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||800,506,317.82|811,850,989.97
其中：营业成本||521,895,142.66|538,326,378.38
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||13,807,056.88|13,113,761.29
销售费用||145,361,309.97|148,932,296.32
管理费用||70,304,809.47|69,588,445.99
研发费用||70,187,780.97|61,897,092.55
财务费用||-21,049,782.13|-20,006,984.56
其中：利息费用||772,344.86|869,000.00
利息收入||21,664,534.94|20,237,664.73
加：其他收益||41,317,902.98|49,576,200.40
投资收益（损失以“－”号填列）||16,866,187.56|14,370,845.30
其中：对联营企业和合营企业的投资收益||243,131.18|99,111.65
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||2,051,938.21|
信用减值损失（损失以“-”号填列）||-49,503,892.74|
资产减值损失（损失以“-”号填列）||-3,553,113.49|-29,174,895.85
资产处置收益（损失以“－”号填列）||-192,231.91|-295,757.93
三、营业利润（亏损以“－”号填列）||188,852,491.98|177,155,052.82
page|59
加：营业外收入||4,209,180.85|4,984.53
减：营业外支出||1,905,042.92|4,039,899.94
四、利润总额（亏损总额以“－”号填列）||191,156,629.91|173,120,137.41
减：所得税费用||26,133,354.41|23,906,784.58
五、净利润（净亏损以“－”号填列）||165,023,275.50|149,213,352.83
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||165,023,275.50|149,213,352.83
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||168,884,369.26|153,333,141.88
2.少数股东损益（净亏损以“-”号填列）||-3,861,093.76|-4,119,789.05
六、其他综合收益的税后净额||-485,350.00|-6,158,335.20
（一）归属母公司所有者的其他综合收益的税后净额||-485,350.00|-6,158,335.20
1．不能重分类进损益的其他综合收益||-485,350.00|-1,850,250.00
（1）重新计量设定受益计划变动额||-485,350.00|-1,850,250.00
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||-4,308,085.20
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||-4,308,085.20
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||164,537,925.50|143,055,017.63
（一）归属于母公司所有者的综合收益总额||168,399,019.26|147,174,806.68
（二）归属于少数股东的综合收益总额||-3,861,093.76|-4,119,789.05
八、每股收益：|||
（一）基本每股收益(元/股)||0.31|0.28
（二）稀释每股收益(元/股)||0.31|0.28
