page|94
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|500,185,662.99|316,989,695.20
结算备付金||
拆出资金||
交易性金融资产|229,616,203.17|
以公允价值计量且其变动计入当期损益的金融资产||77,410,174.45
衍生金融资产||
应收票据|28,383,170.38|81,875,913.24
应收账款|830,944,323.09|829,998,404.58
应收款项融资|12,852,496.32|
预付款项|33,392,155.21|29,060,124.62
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|27,327,215.12|21,242,380.93
其中：应收利息||
应收股利||
买入返售金融资产||
存货|179,638,455.78|150,157,485.27
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|23,067,849.78|19,665,810.96
流动资产合计|1,865,407,531.84|1,526,399,989.25
page|95
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||88,500,000.00
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|52,412,332.98|28,737,325.01
其他权益工具投资|10,000,000.00|
其他非流动金融资产|28,500,000.00|
投资性房地产|7,264,133.36|12,012,641.59
固定资产|381,541,572.37|126,403,818.75
在建工程|208,934.47|139,754,370.14
生产性生物资产||
油气资产||
使用权资产||
无形资产|187,793,582.09|154,985,848.24
开发支出|36,725,655.82|47,641,079.09
商誉|657,145,052.90|1,192,853,534.21
长期待摊费用|13,165,868.11|5,130,979.99
递延所得税资产|36,589,481.32|27,732,710.26
其他非流动资产||10,000,000.00
非流动资产合计|1,411,346,613.42|1,833,752,307.28
资产总计|3,276,754,145.26|3,360,152,296.53
流动负债：||
短期借款|326,518,458.23|318,670,745.60
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|61,196,404.23|40,464,698.72
应付账款|257,947,366.08|215,171,866.47
预收款项|32,302,622.25|27,014,862.05
page|96
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|27,339,140.73|32,270,470.78
应交税费|31,590,431.71|52,003,726.36
其他应付款|34,796,388.22|27,274,846.78
其中：应付利息|6,584,211.52|6,707,591.77
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|87,060,500.00|9,500,000.00
其他流动负债|8,300,411.60|312,100.00
流动负债合计|867,051,723.05|722,683,316.76
非流动负债：||
保险合同准备金||
长期借款|162,009,546.79|151,500,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|340,898,936.87|98,532,845.62
长期应付职工薪酬||
预计负债||
递延收益|141,252,143.95|102,461,254.86
递延所得税负债|29,566,307.78|14,574,762.46
其他非流动负债||
非流动负债合计|673,726,935.39|367,068,862.94
负债合计|1,540,778,658.44|1,089,752,179.70
所有者权益：||
股本|510,980,897.00|516,938,160.00
其他权益工具||
page|97
其中：优先股||
永续债||
资本公积|1,235,297,546.51|1,312,596,206.97
减：库存股||
其他综合收益|-423,947.12|-515,240.19
专项储备||
盈余公积|42,693,704.97|40,653,704.34
一般风险准备||
未分配利润|-68,975,617.92|372,891,705.30
归属于母公司所有者权益合计|1,719,572,583.44|2,242,564,536.42
少数股东权益|16,402,903.38|27,835,580.41
所有者权益合计|1,735,975,486.82|2,270,400,116.83
负债和所有者权益总计|3,276,754,145.26|3,360,152,296.53
