page|67
项目|2019 年度|2018 年度
一、营业总收入|3,630,292,929.31|5,410,970,481.11
其中：营业收入|3,630,292,929.31|5,410,970,481.11
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|3,655,008,816.04|5,878,018,568.09
其中：营业成本|3,043,028,787.63|4,583,528,651.25
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
page|68
税金及附加|28,046,528.66|57,276,530.33
销售费用|184,373,612.91|268,474,651.41
管理费用|212,390,007.13|587,223,982.58
研发费用|89,621,246.50|187,523,165.98
财务费用|97,548,633.21|193,991,586.54
其中：利息费用|94,379,249.85|189,085,600.83
利息收入|1,201,416.44|2,286,385.21
加：其他收益|4,187,544.21|3,792,824.18
投资收益（损失以“－”号填列）|-382,474,944.69|167,355,748.58
其中：对联营企业和合营企业的投资收益|-392,951,282.37|-214,081,136.00
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-188,599,972.28|
资产减值损失（损失以“-”号填列）|-1,448,863,402.11|-14,124,257.67
资产处置收益（损失以“-”号填列）|9,693,917.91|675,837,756.61
三、营业利润（亏损以“－”号填列）|-2,030,772,743.69|365,813,984.72
加：营业外收入|12,156,675.21|5,092,481.38
减：营业外支出|13,928,164.11|19,199,410.96
四、利润总额（亏损总额以“－”号填列）|-2,032,544,232.59|351,707,055.14
减：所得税费用|50,193,025.69|260,480,246.74
五、净利润（净亏损以“－”号填列）|-2,082,737,258.28|91,226,808.40
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-2,082,737,258.28|1,411,396.78
2.终止经营净利润（净亏损以“－”号填列）||89,815,411.62
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|-2,082,737,258.28|91,226,808.40
2.少数股东损益||
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
page|69
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|-2,082,737,258.28|91,226,808.40
归属于母公司所有者的综合收益总额|-2,082,737,258.28|91,226,808.40
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|-1.39|0.06
（二）稀释每股收益|-1.39|0.06
