page|73
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七、1|5,799,943,492.59|6,391,470,308.97
交易性金融资产|七、2|1,411,383,003.77|
以公允价值计量且其变动计入当期损益的金融资产|七、2||1,111,700.00
衍生金融资产|||
应收票据|七、4|35,159,982.37|503,638,485.76
应收账款|七、5|10,806,623,674.87|12,491,387,096.76
应收款项融资|七、6|725,732,697.19|
预付款项|七、7|237,442,333.28|62,676,057.47
其他应收款|七、8|192,089,890.72|188,268,403.25
其中：应收利息|||
应收股利||623,161.42|200,000.00
存货|七、9|1,768,801,757.45|1,535,199,627.02
其他流动资产|七、12|223,812,177.33|1,020,560,488.55
流动资产合计||21,200,989,009.57|22,194,312,167.78
非流动资产：|||
债权投资|||
可供出售金融资产|||58,500,000.00
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|七、16|142,349,048.61|140,088,301.88
其他权益工具投资|七、17|47,560,000.00|
其他非流动金融资产|七、18|145,126,984.40|
投资性房地产|七、19|45,224,395.36|78,256,494.17
固定资产|七、20|1,854,264,623.69|1,770,407,559.95
在建工程|七、21|1,328,385,807.98|239,483,838.36
无形资产|七、25|604,772,651.28|520,622,982.75
开发支出|||
商誉|七、27|89,647,978.61|71,305,565.90
长期待摊费用|七、28|57,830,029.20|49,421,128.39
递延所得税资产|七、29|410,043,480.67|421,645,218.47
其他非流动资产|七、30|39,409,172.48|280,179,022.46
非流动资产合计||4,764,614,172.28|3,629,910,112.33
资产总计||25,965,603,181.85|25,824,222,280.11
流动负债：|||
短期借款|七、31|2,067,806,391.85|2,945,679,234.61
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损|七、32||8,414,000.00
page|74
益的金融负债|||
衍生金融负债|||
应付票据|七、34|6,067,651,901.22|6,315,710,287.04
应付账款|七、35|6,583,192,753.35|5,653,413,866.65
预收款项|七、36|525,747,936.43|526,849,885.36
应付职工薪酬|七、37|383,905,716.04|333,156,264.96
应交税费|七、38|86,294,625.64|89,206,781.62
其他应付款|七、39|537,923,516.65|901,922,829.79
其中：应付利息|||8,294,394.83
应付股利||11,531,116.16|11,530,350.70
应付手续费及佣金|||
一年内到期的非流动负债|七、41|291,819,040.21|693,177,432.85
其他流动负债|七、42|2,755,000.00|1,069,680.00
流动负债合计|||16,547,096,881.39   17,468,600,262.88
非流动负债：|||
长期借款|七、43|1,744,672,398.00|1,294,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、46|18,036,713.94|29,856,680.72
长期应付职工薪酬|||
预计负债|七、48|1,360,718,396.70|1,439,772,407.28
递延收益|七、49|202,104,078.71|215,151,980.50
递延所得税负债|七、29|30,222,312.15|298,731.72
其他非流动负债|七、50|410,000,000.00|412,900,000.00
非流动负债合计||3,765,753,899.50|3,391,979,800.22
负债合计|||20,312,850,780.89   20,860,580,063.10
所有者权益（或股东权益）：|||
实收资本（或股本）|七、51|606,738,511.00|606,738,511.00
其他权益工具|七、52|900,000,000.00|500,000,000.00
其中：优先股|||
永续债|七、52|900,000,000.00|500,000,000.00
资本公积|七、53|808,203,663.36|806,613,898.91
减：库存股|||
其他综合收益|七、55|-9,508,202.82|3,264,312.14
专项储备|七、56|35,256,369.11|32,607,689.77
盈余公积|七、57|267,634,268.05|260,158,239.99
一般风险准备|||
未分配利润|七、58|1,825,987,008.72|1,575,379,405.92
归属于母公司所有者权益（或股东权益）合计||4,434,311,617.42|3,784,762,057.73
少数股东权益||1,218,440,783.54|1,178,880,159.28
所有者权益（或股东权益）合计||5,652,752,400.96|4,963,642,217.01
负债和所有者权益（或股东权益）总计||25,965,603,181.85|25,824,222,280.11
