page|83
项目|附注|2019 年度|2018 年度
一、营业总收入||1,735,366,951.57|1,644,547,440.82
其中：营业收入||1,735,366,951.57|1,644,547,440.82
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,677,321,835.89|1,642,613,144.90
其中：营业成本||1,365,022,546.74|1,366,328,972.28
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||17,941,252.84|21,234,990.18
销售费用||85,348,481.72|74,256,081.50
管理费用||96,192,579.45|83,243,245.21
研发费用||94,598,743.31|77,834,130.27
财务费用||18,218,231.83|19,715,725.46
其中：利息费用||17,623,653.92|19,297,858.80
利息收入||935,795.93|1,277,335.91
加：其他收益||17,019,583.08|24,415,173.47
投资收益（损失以“－”号填列）||19,771,307.85|13,442,711.27
其中：对联营企业和合营企业的投资收益||13,314,872.12|11,458,492.09
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||102,730.00|
信用减值损失（损失以“-”号填列）||-4,749,411.88|
资产减值损失（损失以“-”号填列）||-12,144,929.13|-6,640,194.43
资产处置收益（损失以“－”号填列）||180,786.65|2,805,246.68
三、营业利润（亏损以“－”号填列）||78,225,182.25|35,957,232.91
加：营业外收入||1,554,835.98|2,717,668.35
减：营业外支出||3,215,077.78|5,358,720.23
四、利润总额（亏损总额以“－”号||76,564,940.45|33,316,181.03
page|84
填列）|||
减：所得税费用||4,639,387.72|581,219.91
五、净利润（净亏损以“－”号填列）||71,925,552.73|32,734,961.12
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||71,925,552.73|32,734,961.12
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||72,871,524.03|32,154,270.21
2.少数股东损益（净亏损以“-”号填列）||-945,971.30|580,690.91
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||71,925,552.73|32,734,961.12
（一）归属于母公司所有者的综合收益总额||72,871,524.03|32,154,270.21
（二）归属于少数股东的综合收益总额||-945,971.30|580,690.91
page|85
八、每股收益：|||
（一）基本每股收益(元/股)||0.12|0.05
（二）稀释每股收益(元/股)||0.12|0.05
