page|64
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|215,259,979.54|453,118,182.59
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||112,226,461.92
应收账款|588,806,474.39|534,624,427.14
应收款项融资|26,469,430.32|
预付款项|11,123,306.96|15,618,280.81
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|3,925,566.92|27,283,911.63
其中：应收利息||445,428.06
应收股利||
买入返售金融资产||
存货|344,792,926.95|418,158,395.74
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|78,538,419.39|80,438,321.79
流动资产合计|1,268,916,104.47|1,641,467,981.62
非流动资产：||
发放贷款和垫款||
page|65
债权投资||
可供出售金融资产||203,577,153.69
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资||
其他权益工具投资|203,577,153.69|
其他非流动金融资产||
投资性房地产|731,192.40|756,866.04
固定资产|620,200,436.10|553,538,880.86
在建工程|306,795,218.59|421,473,719.09
生产性生物资产||
油气资产||
使用权资产||
无形资产|82,770,291.24|99,367,698.07
开发支出||
商誉||
长期待摊费用|6,755,218.23|14,710,867.59
递延所得税资产|40,034,871.66|37,165,058.83
其他非流动资产|43,003,600.00|89,391,137.71
非流动资产合计|1,303,867,981.91|1,419,981,381.88
资产总计|2,572,784,086.38|3,061,449,363.50
流动负债：||
短期借款|484,450,000.00|401,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|76,790,380.93|91,417,113.44
应付账款|256,824,077.87|366,191,578.99
预收款项|452,221.27|3,690,443.57
合同负债||
卖出回购金融资产款||
page|66
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|12,433,366.48|16,551,188.49
应交税费|10,708,258.80|24,112,465.73
其他应付款|16,763,084.02|81,200,757.27
其中：应付利息||1,157,932.91
应付股利|2,496.00|2,496.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|84,500,000.00|76,000,000.00
其他流动负债|2,144,222.66|
流动负债合计|945,065,612.03|1,060,163,547.49
非流动负债：||
保险合同准备金||
长期借款|214,000,000.00|199,500,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|116,635,514.82|116,631,797.64
递延所得税负债||
其他非流动负债||
非流动负债合计|330,635,514.82|316,131,797.64
负债合计|1,275,701,126.85|1,376,295,345.13
所有者权益：||
股本|1,208,455,224.00|1,208,455,224.00
其他权益工具||
其中：优先股||
永续债||
page|67
资本公积|125,281,548.60|125,281,548.60
减：库存股||
其他综合收益|-62,064.72|-62,064.72
专项储备||
盈余公积|4,790,403.54|4,790,403.54
一般风险准备||
未分配利润|-93,222,859.76|-18,772,216.99
归属于母公司所有者权益合计|1,245,242,251.66|1,319,692,894.43
少数股东权益|51,840,707.87|365,461,123.94
所有者权益合计|1,297,082,959.53|1,685,154,018.37
负债和所有者权益总计|2,572,784,086.38|3,061,449,363.50
