page|76
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|487,908,175.09|926,868,002.44
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|1,680,978.13|16,639,416.07
收到其他与经营活动有关的现金|353,581,292.52|319,768,317.45
经营活动现金流入小计|843,170,445.74|1,263,275,735.96
购买商品、接受劳务支付的现金|365,491,316.98|687,093,320.25
page|77
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|60,321,911.37|124,894,099.38
支付的各项税费|2,287,282.72|15,624,545.33
支付其他与经营活动有关的现金|335,367,874.02|180,068,688.14
经营活动现金流出小计|763,468,385.09|1,007,680,653.10
经营活动产生的现金流量净额|79,702,060.65|255,595,082.86
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金||507,419.13
处置固定资产、无形资产和其他长期资产收回的现金净额|560,000.00|208,027.50
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|560,000.00|715,446.63
购建固定资产、无形资产和其他长期资产支付的现金|22,445,763.58|114,006,338.46
投资支付的现金||
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|22,445,763.58|114,006,338.46
投资活动产生的现金流量净额|-21,885,763.58|-113,290,891.83
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||78,990,000.00
page|78
收到其他与筹资活动有关的现金||
筹资活动现金流入小计||78,990,000.00
偿还债务支付的现金|62,222,934.23|279,107,667.23
分配股利、利润或偿付利息支付的现金|5,646,969.23|23,940,066.39
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||
筹资活动现金流出小计|67,869,903.46|303,047,733.62
筹资活动产生的现金流量净额|-67,869,903.46|-224,057,733.62
四、汇率变动对现金及现金等价物的影响|381,521.82|-184,303.77
五、现金及现金等价物净增加额|-9,672,084.57|-81,937,846.36
加：期初现金及现金等价物余额|36,448,828.68|118,386,675.04
六、期末现金及现金等价物余额|26,776,744.11|36,448,828.68
