page|104
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
page|105
销售商品、提供劳务收到的现金|976,016,479.30|1,197,861,732.89
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|24,736,921.99|9,108,851.69
收到其他与经营活动有关的现金|34,284,855.00|59,090,105.92
经营活动现金流入小计|1,035,038,256.29|1,266,060,690.50
购买商品、接受劳务支付的现金|645,416,707.42|571,134,131.09
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|252,510,482.51|260,552,934.66
支付的各项税费|57,136,458.06|116,931,149.27
支付其他与经营活动有关的现金|148,594,150.21|100,654,529.05
经营活动现金流出小计|1,103,657,798.20|1,049,272,744.07
经营活动产生的现金流量净额|-68,619,541.91|216,787,946.43
二、投资活动产生的现金流量：||
收回投资收到的现金||48,000,000.00
取得投资收益收到的现金|10,622,982.75|132,376.71
处置固定资产、无形资产和其他长期资产收回的现金净额|3,262,565.39|5,054,705.24
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|13,885,548.14|53,187,081.95
page|106
购建固定资产、无形资产和其他长期资产支付的现金|154,246,978.61|171,186,089.19
投资支付的现金|28,073,296.03|60,896,760.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||32,710,567.74
支付其他与投资活动有关的现金|30,165,297.60|
投资活动现金流出小计|212,485,572.24|264,793,416.93
投资活动产生的现金流量净额|-198,600,024.10|-211,606,334.98
三、筹资活动产生的现金流量：||
吸收投资收到的现金|108,834,900.00|
其中：子公司吸收少数股东投资收到的现金|360,000.00|
取得借款收到的现金|418,939,224.19|513,057,387.80
收到其他与筹资活动有关的现金|331,153,733.07|108,539,761.30
筹资活动现金流入小计|858,927,857.26|621,597,149.10
偿还债务支付的现金|404,731,932.50|361,924,794.56
分配股利、利润或偿付利息支付的现金|91,757,242.78|33,924,039.36
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|167,278,081.71|226,196,343.60
筹资活动现金流出小计|663,767,256.99|622,045,177.52
筹资活动产生的现金流量净额|195,160,600.27|-448,028.42
四、汇率变动对现金及现金等价物的影响|441,436.31|959,346.45
五、现金及现金等价物净增加额|-71,617,529.43|5,692,929.48
加：期初现金及现金等价物余额|193,053,874.04|187,360,944.56
六、期末现金及现金等价物余额|121,436,344.61|193,053,874.04
