page|77
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|3,211,953,560.72|3,176,936,803.39
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|4,800,000.00|230,000.00
应收账款|1,929,533,917.86|3,142,590,991.97
应收款项融资|28,370,000.00|36,770,000.00
预付款项|458,805,877.24|497,604,167.98
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|889,490,648.28|957,319,252.27
其中：应收利息||
应收股利||
买入返售金融资产||
存货|4,091,142,219.13|3,096,644,322.49
合同资产||
持有待售资产||
一年内到期的非流动资产|838,724,685.21|
其他流动资产|776,567,607.73|357,220,203.09
流动资产合计|12,229,388,516.17|11,265,315,741.19
page|78
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||
其他债权投资||
持有至到期投资||
长期应收款|2,304,681,481.15|3,215,280,334.72
长期股权投资|628,046,237.37|643,213,962.52
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|1,072,422,995.85|650,509,880.73
在建工程|4,330,400,832.43|6,653,477,257.22
生产性生物资产||
油气资产||
使用权资产||
无形资产|5,511,364,789.04|94,113,934.51
开发支出||
商誉|8,582,284.74|8,582,284.74
长期待摊费用|138,895,195.62|134,750,478.90
递延所得税资产|134,257,957.47|116,267,088.78
其他非流动资产|1,217,047,256.54|76,410,667.45
非流动资产合计|15,345,699,030.21|11,592,605,889.57
资产总计|27,575,087,546.38|22,857,921,630.76
流动负债：||
短期借款|1,274,000,000.00|1,100,500,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|2,026,398,398.06|521,264,172.76
应付账款|4,367,876,172.17|4,976,139,151.53
page|79
预收款项|1,541,098,148.69|1,649,850,261.18
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|105,423,558.92|112,759,636.67
应交税费|60,699,975.40|79,948,458.48
其他应付款|904,512,480.06|1,806,535,505.96
其中：应付利息|25,502,764.54|20,874,986.76
应付股利|3,350,821.69|3,350,821.69
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|1,642,359,325.00|2,556,560,000.00
其他流动负债|303,991,546.81|231,762,199.47
流动负债合计|12,226,359,605.11|13,035,319,386.05
非流动负债：||
保险合同准备金||
长期借款|8,128,688,600.00|4,997,440,000.00
应付债券|1,229,734,334.88|601,472,569.19
其中：优先股||
永续债||
租赁负债||
长期应付款|1,684,044,337.41|231,361,319.57
长期应付职工薪酬||
预计负债|106,977,964.56|
递延收益|36,487,385.77|223,272,868.91
递延所得税负债||
其他非流动负债|318,618,377.41|
非流动负债合计|11,504,551,000.03|6,053,546,757.67
负债合计|23,730,910,605.14|19,088,866,143.72
所有者权益：||
股本|898,206,436.00|898,206,436.00
page|80
其他权益工具||
其中：优先股||
永续债||
资本公积|333,782,924.40|445,138,272.08
减：库存股||
其他综合收益|39,085,935.04|65,040,907.44
专项储备|42,533,606.58|30,391,025.64
盈余公积|52,368,833.95|44,690,487.88
一般风险准备||
未分配利润|486,943,670.99|441,128,342.62
归属于母公司所有者权益合计|1,852,921,406.96|1,924,595,471.66
少数股东权益|1,991,255,534.28|1,844,460,015.38
所有者权益合计|3,844,176,941.24|3,769,055,487.04
负债和所有者权益总计|27,575,087,546.38|22,857,921,630.76
