page|57
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||244,848,411.21|201,401,648.44
结算备付金|||
拆出资金|||
交易性金融资产||2,300,152.28|
以公允价值计量且其变动计入当期损益的金融资产|||1,481,081.60
page|58
衍生金融资产|||
应收票据||600,000.00|11,427,600.00
应收账款||43,665,201.94|69,307,972.08
应收款项融资|||
预付款项||35,124,935.49|62,169,821.17
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||103,012,631.63|133,352,452.05
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||363,150,508.15|640,239,884.78
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||43,759,474.32|122,471,039.07
流动资产合计||836,461,315.02|1,241,851,499.19
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资||244,083,515.21|90,092,418.91
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产||380,301,997.13|378,725,771.36
在建工程||16,760,743.84|34,702,035.99
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||133,828,295.87|140,199,343.93
开发支出|||
商誉|||
长期待摊费用|||47,241.23
递延所得税资产||5,973,237.53|6,690,986.23
其他非流动资产||979,609.64|12,968,024.44
非流动资产合计||781,927,399.22|663,425,822.09
资产总计||1,618,388,714.24|1,905,277,321.28
流动负债：|||
短期借款||561,943,317.60|556,600,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
page|59
衍生金融负债|||
应付票据|||
应付账款||71,964,242.95|129,252,175.08
预收款项||79,037,615.33|338,999,906.00
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||19,643,384.57|23,603,679.02
应交税费||5,534,915.74|3,045,986.57
其他应付款||98,657,810.48|253,648,019.25
其中：应付利息|||742,538.67
应付股利||7,236.04|
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||836,781,286.67|1,305,149,765.92
非流动负债：|||
保险合同准备金|||
长期借款||97,582,333.33|100,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||24,003,036.92|2,952,137.00
长期应付职工薪酬|||
预计负债|||
递延收益||16,821,626.51|30,656,601.31
递延所得税负债|||
其他非流动负债|||
非流动负债合计||138,406,996.76|133,608,738.31
负债合计||975,188,283.43|1,438,758,504.23
所有者权益（或股东权益）：|||
实收资本（或股本）||470,923,313.00|470,923,313.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||807,645,023.88|804,750,881.85
减：库存股|||
其他综合收益|||
专项储备|||
盈余公积||41,092,499.14|41,092,499.14
一般风险准备|||
未分配利润||-650,387,338.87|-671,268,295.09
归属于母公司所有者权益（或股东权益）合计||669,273,497.15|645,498,398.90
page|60
少数股东权益||-26,073,066.34|-178,979,581.85
所有者权益（或股东权益）合计||643,200,430.81|466,518,817.05
负债和所有者权益（或股东权益）总计||1,618,388,714.24|1,905,277,321.28
