page|61
项目|附注|2019 年度|2018 年度
一、营业总收入||11,358,049,184.90|11,258,568,834.70
其中：营业收入||11,358,049,184.90|11,258,568,834.70
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||9,222,699,711.88|9,254,234,458.22
其中：营业成本||5,078,072,418.06|5,452,123,116.75
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||723,645,847.74|728,953,076.53
销售费用||2,202,472,158.36|2,015,054,648.12
管理费用||478,254,856.40|433,262,609.58
研发费用||174,889,708.67|
财务费用||565,364,722.65|624,841,007.24
其中：利息费用||623,345,313.79|662,459,821.00
利息收入||71,105,806.44|61,505,500.31
加：其他收益||17,702,199.32|17,450,086.97
page|62
投资收益（损失以“－”号填列）||161,235,419.64|154,845,464.58
其中：对联营企业和合营企业的投资收益||161,235,419.64|154,845,464.58
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-28,984,265.71|
资产减值损失（损失以“-”号填列）||-67,928,875.84|-182,733,722.52
资产处置收益（损失以“－”号填列）||14,217,928.71|
三、营业利润（亏损以“－”号填列）||2,231,591,879.14|1,993,896,205.51
加：营业外收入||3,953,033.30|1,314,066.92
减：营业外支出||13,218,568.71|19,545,092.31
四、利润总额（亏损总额以“－”号填列）||2,222,326,343.73|1,975,665,180.12
减：所得税费用||855,380,121.49|798,663,363.57
五、净利润（净亏损以“－”号填列）||1,366,946,222.24|1,177,001,816.55
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,366,946,222.24|1,177,001,816.55
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||897,462,176.08|659,711,219.09
2.少数股东损益（净亏损以“-”号填列）||469,484,046.16|517,290,597.46
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合|||
page|63
收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,366,946,222.24|1,177,001,816.55
（一）归属于母公司所有者的综合收益总额||897,462,176.08|659,711,219.09
（二）归属于少数股东的综合收益总额||469,484,046.16|517,290,597.46
八、每股收益：|||
（一）基本每股收益(元/股)||0.54|0.39
（二）稀释每股收益(元/股)||0.54|0.39
