page|78
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,523,414,091.27|15,718,345,039.98
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||13,477,804.75|4,210,941.69
收到其他与经营活动有关的现金||526,127,829.27|108,094,527.17
经营活动现金流入小计||5,063,019,725.29|15,830,650,508.84
购买商品、接受劳务支付的现金||5,073,299,885.64|19,868,632,644.10
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||198,866,642.57|399,121,123.00
支付的各项税费||50,459,814.08|255,992,068.66
支付其他与经营活动有关的现金||432,823,189.24|446,211,884.14
page|79
经营活动现金流出小计||5,755,449,531.53|20,969,957,719.90
经 营 活动 产生 的 现金 流量净额||-692,429,806.24|-5,139,307,211.06
二、投资活动产生的现金流量：|||
收回投资收到的现金||200,000.00|540,516,129.03
取得投资收益收到的现金||223,673.39|38,182,323.38
处置固定资产、无形资产和其他长期资产收回的现金净额||56,481,191.72|294,123.90
处置子公司及其他营业单位收到的现金净额|||66,491,100.09
收到其他与投资活动有关的现金|||
投资活动现金流入小计||56,904,865.11|645,483,676.40
购建固定资产、无形资产和其他长期资产支付的现金||11,440,077.82|15,443,194.59
投资支付的现金|||326,660,500.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||20,156,679.56|
投资活动现金流出小计||31,596,757.38|342,103,694.59
投 资 活动 产生 的 现金 流量净额||25,308,107.73|303,379,981.81
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||2,176,200.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,073,636,392.97|5,148,335,597.80
收到其他与筹资活动有关的现金||225,000,000.00|895,017,713.09
筹资活动现金流入小计||1,298,636,392.97|6,045,529,510.89
偿还债务支付的现金||503,340,422.32|5,578,099,908.33
分配股利、利润或偿付利息支付的现金||25,412,824.32|357,475,054.63
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||571,443,923.40|408,325,496.86
筹资活动现金流出小计||1,100,197,170.04|6,343,900,459.82
筹 资 活动 产生 的 现金 流量净额||198,439,222.93|-298,370,948.93
四、汇率变动对现金及现金等价物的影响||228,749.11|3,865,922.35
五、现金及现金等价物净增加额||-468,453,726.47|-5,130,432,255.83
加：期初现金及现金等价物余额||739,220,421.31|5,869,652,677.14
page|80
六、期末现金及现金等价物余额||270,766,694.84|739,220,421.31
