page|66
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|157,773,073.44|123,856,928.28
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||28,543,979.78
应收账款|268,267,613.44|284,887,537.96
应收款项融资|49,841,680.47|
预付款项|19,185,751.32|18,531,963.44
page|67
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|6,335,308.45|4,155,902.07
其中：应收利息||
应收股利||
买入返售金融资产||
存货|233,837,685.43|191,755,456.86
合同资产||
持有待售资产||
一年内到期的非流动资产||336,113.56
其他流动资产|233,896.67|284,117.58
流动资产合计|735,475,009.22|652,351,999.53
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||57,892,775.40
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|55,223,086.95|53,517,119.75
其他权益工具投资|39,541,707.38|
其他非流动金融资产|47,361,600.00|
投资性房地产|645,443.80|11,136,492.93
固定资产|1,202,783,270.63|1,348,593,292.94
在建工程|43,559,044.18|26,235,385.18
生产性生物资产||
油气资产||
使用权资产||
无形资产|80,340,320.62|84,935,550.10
开发支出||
商誉||
长期待摊费用|7,894,330.52|10,094,295.00
递延所得税资产|7,770,018.28|6,716,138.05
page|68
其他非流动资产|79,210,535.54|68,341,057.91
非流动资产合计|1,564,329,357.90|1,667,462,107.26
资产总计|2,299,804,367.12|2,319,814,106.79
流动负债：||
短期借款|482,766,680.00|416,587,960.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据||10,645,480.00
应付账款|216,077,502.85|193,449,433.78
预收款项|40,234,972.19|7,298,386.44
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|11,480,234.07|13,734,348.04
应交税费|12,361,812.55|16,360,554.86
其他应付款|48,104,998.66|36,471,902.74
其中：应付利息|806,511.67|852,590.70
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|285,573,858.99|184,790,825.76
其他流动负债|10,486,446.44|
流动负债合计|1,107,086,505.75|879,338,891.62
非流动负债：||
保险合同准备金||
长期借款|40,063,861.11|175,325,614.58
应付债券||
其中：优先股||
page|69
永续债||
租赁负债||
长期应付款|138,416,291.11|242,877,443.52
长期应付职工薪酬||
预计负债||
递延收益|64,001,098.76|123,549,932.92
递延所得税负债|4,184,447.22|
其他非流动负债||
非流动负债合计|246,665,698.20|541,752,991.02
负债合计|1,353,752,203.95|1,421,091,882.64
所有者权益：||
股本|332,467,470.00|332,467,470.00
其他权益工具||
其中：优先股||
永续债||
资本公积|368,915,991.83|368,915,991.83
减：库存股||
其他综合收益|622,766.76|142,042.00
专项储备||
盈余公积|42,190,846.85|33,933,667.51
一般风险准备||
未分配利润|201,855,087.73|163,263,052.81
归属于母公司所有者权益合计|946,052,163.17|898,722,224.15
少数股东权益||
所有者权益合计|946,052,163.17|898,722,224.15
负债和所有者权益总计|2,299,804,367.12|2,319,814,106.79
