page|117
一、营业总收入|770,225,996.92|756,978,189.55
其中：营业收入|770,225,996.92|756,978,189.55
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|874,768,113.95|884,335,490.79
其中：营业成本|663,381,849.52|646,239,925.22
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|3,452,362.32|8,067,673.68
销售费用|70,810,035.01|79,792,304.83
管理费用|36,831,252.01|45,945,837.27
研发费用|79,913,639.53|61,391,945.38
财务费用|20,378,975.56|42,897,804.41
其中：利息费用|17,098,066.66|31,683,904.79
利息收入|1,195,927.04|768,040.61
加：其他收益|6,432,529.01|9,106,275.79
投资收益（损失以“－”号填列）|14,494,739.35|221,664,085.74
其中：对联营企业和合营企业的投资收益|-3,338,113.14|-2,206,421.18
以摊余成本计量的金融资产终止确认收益|-788,031.87|
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-42,900,511.41|
page|118
资产减值损失（损失以“-”号填列）|-168,268,744.87|-94,715,939.78
资产处置收益（损失以“-”号填列）|-1,640,854.23|-410,994.95
三、营业利润（亏损以“－”号填列）|-296,424,959.18|8,286,125.56
加：营业外收入|266,416.77|1,262,295.24
减：营业外支出|887,944.93|200,068.03
四、利润总额（亏损总额以“－”号填列）|-297,046,487.34|9,348,352.77
减：所得税费用|59,168,658.20|-2,280,653.05
五、净利润（净亏损以“－”号填列）|-356,215,145.54|11,629,005.82
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-356,215,145.54|-173,484,422.90
2.终止经营净利润（净亏损以“－”号填列）||185,113,428.72
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|-352,160,972.47|16,953,434.63
2.少数股东损益|-4,054,173.07|-5,324,428.81
六、其他综合收益的税后净额|326,961.82|749,263.70
归属母公司所有者的其他综合收益的税后净额|326,961.82|749,263.70
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|326,961.82|749,263.70
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变||
page|119
动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|326,961.82|749,263.70
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|-355,888,183.72|12,378,269.52
归属于母公司所有者的综合收益总额|-351,834,010.65|17,702,698.33
归属于少数股东的综合收益总额|-4,054,173.07|-5,324,428.81
八、每股收益：||
（一）基本每股收益|-2.93|0.14
（二）稀释每股收益|-2.93|0.14
