page|64
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|139,288,918.59|220,462,195.62
结算备付金||
拆出资金||
交易性金融资产|302,357,377.78|
以公允价值计量且其变动计入当||
page|65
期损益的金融资产||
衍生金融资产||
应收票据||57,437,595.77
应收账款|160,219,699.34|110,994,345.78
应收款项融资|77,662,285.85|
预付款项|5,839,702.94|6,367,665.69
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|45,405,923.70|141,616,292.22
其中：应收利息||1,778,377.16
应收股利||
买入返售金融资产||
存货|312,506,623.00|340,414,705.29
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|15,330,416.84|329,159,122.78
流动资产合计|1,058,610,948.04|1,206,451,923.15
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||52,638,713.15
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|25,255,224.11|47,837,934.76
其他权益工具投资|43,165,456.13|
其他非流动金融资产||
投资性房地产||
固定资产|516,523,965.03|479,219,094.66
在建工程|14,950,066.74|60,420,283.36
生产性生物资产||
油气资产||
page|66
使用权资产||
无形资产|163,603,794.63|185,538,107.23
开发支出|30,746,597.18|19,748,209.60
商誉||109,750,317.92
长期待摊费用|1,464,020.97|1,564,516.29
递延所得税资产|32,149,055.79|22,204,958.90
其他非流动资产|5,294,344.52|6,146,218.08
非流动资产合计|833,152,525.10|985,068,353.95
资产总计|1,891,763,473.14|2,191,520,277.10
流动负债：||
短期借款|224,800,000.00|287,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|48,942,987.74|74,007,511.30
应付账款|65,697,677.95|118,855,577.50
预收款项|7,832,401.56|4,344,688.57
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|12,534,971.88|20,403,177.74
应交税费|3,867,081.81|7,022,879.77
其他应付款|3,029,868.76|2,327,759.17
其中：应付利息|44,225.00|152,172.22
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
page|67
其他流动负债|33,122,550.05|
流动负债合计|399,827,539.75|513,961,594.05
非流动负债：||
保险合同准备金||
长期借款|19,800,000.00|40,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|76,826,843.07|67,823,681.77
递延所得税负债|5,227,361.63|5,265,036.45
其他非流动负债||
非流动负债合计|101,854,204.70|113,088,718.22
负债合计|501,681,744.45|627,050,312.27
所有者权益：||
股本|471,315,045.00|471,315,045.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,146,604,953.45|1,146,604,953.45
减：库存股||
其他综合收益|-7,829,588.34|-894,042.77
专项储备||
盈余公积|19,940,955.96|19,940,955.96
一般风险准备||
未分配利润|-258,639,331.24|-95,096,167.11
归属于母公司所有者权益合计|1,371,392,034.83|1,541,870,744.53
少数股东权益|18,689,693.86|22,599,220.30
所有者权益合计|1,390,081,728.69|1,564,469,964.83
负债和所有者权益总计|1,891,763,473.14|2,191,520,277.10
