page|70
项目|2019 年度|2018 年度
一、营业总收入|349,412,936.43|509,392,795.83
其中：营业收入|349,412,936.43|509,392,795.83
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|387,425,639.50|521,160,084.79
其中：营业成本|263,036,707.78|372,493,568.81
page|71
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|5,310,835.34|7,644,275.26
销售费用|24,876,499.60|28,248,374.35
管理费用|39,690,926.57|60,710,437.66
研发费用|44,475,350.21|39,217,698.42
财务费用|10,035,320.00|12,845,730.29
其中：利息费用|15,954,784.08|20,094,342.65
利息收入|6,839,407.80|5,237,833.76
加：其他收益|9,638,647.06|11,832,160.30
投资收益（损失以“－”号填列）|-11,959,584.15|57,628,882.06
其中：对联营企业和合营企业的投资收益|-22,582,710.65|-28,667,206.59
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|1,922,688.42|
信用减值损失（损失以“-”号填列）|-2,239,244.19|
资产减值损失（损失以“-”号填列）|-133,062,235.20|-30,565,816.66
资产处置收益（损失以“-”号填列）|2,763.32|3,466,842.69
三、营业利润（亏损以“－”号填列）|-173,709,667.81|30,594,779.43
加：营业外收入|27,083.50|705,331.24
减：营业外支出|516,162.24|301,744.02
page|72
四、利润总额（亏损总额以“－”号填列）|-174,198,746.55|30,998,366.65
减：所得税费用|-7,728,672.46|3,305,558.76
五、净利润（净亏损以“－”号填列）|-166,470,074.09|27,692,807.89
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-166,470,074.09|51,615,116.87
2.终止经营净利润（净亏损以“－”号填列）||-23,922,308.98
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|-163,543,164.13|27,067,996.14
2.少数股东损益|-2,926,909.96|624,811.75
六、其他综合收益的税后净额|-5,048,817.01|-894,042.77
归属母公司所有者的其他综合收益的税后净额|-4,610,113.51|-894,042.77
（一）不能重分类进损益的其他综合收益|-4,610,113.51|-894,042.77
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|-4,610,113.51|-894,042.77
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
page|73
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额|-438,703.50|
七、综合收益总额|-171,518,891.10|26,798,765.12
归属于母公司所有者的综合收益总额|-168,153,277.64|26,173,953.37
归属于少数股东的综合收益总额|-3,365,613.46|624,811.75
八、每股收益：||
（一）基本每股收益|-0.3470|0.06
（二）稀释每股收益|-0.3470|0.06
