page|79
项目|2019 年度|2018 年度
一、营业总收入|3,895,520,536.27|3,824,905,211.51
其中：营业收入|3,895,520,536.27|3,824,905,211.51
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|3,651,535,206.01|3,182,008,946.97
其中：营业成本|2,326,620,713.36|1,984,080,506.76
page|80
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|38,665,993.97|42,269,712.94
销售费用|597,651,907.45|560,436,038.01
管理费用|253,824,414.48|218,767,875.13
研发费用|323,436,607.02|289,032,426.73
财务费用|111,335,569.73|87,422,387.40
其中：利息费用|116,835,304.16|98,173,562.33
利息收入|3,718,202.93|4,375,544.80
加：其他收益|163,791,180.57|161,107,173.38
投资收益（损失以“－”号填列）|5,437,931.48|5,304,868.70
其中：对联营企业和合营企业的投资收益|5,496,425.06|4,310,992.74
以摊余成本计量的金融资产终止确认收益|-4,223,015.80|
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|-7,395,297.52|
信用减值损失（损失以“-”号填列）|-38,103,853.00|
资产减值损失（损失以“-”号填列）|-172,054,981.67|-76,158,892.48
资产处置收益（损失以“-”号填列）|-991,719.45|-39,531.15
三、营业利润（亏损以“－”号填列）|194,668,590.67|733,109,882.99
加：营业外收入|9,812,642.37|28,330,517.29
减：营业外支出|2,940,977.76|11,472,095.63
page|81
四、利润总额（亏损总额以“－”号填列）|201,540,255.28|749,968,304.65
减：所得税费用|88,300,393.72|81,772,226.24
五、净利润（净亏损以“－”号填列）|113,239,861.56|668,196,078.41
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|113,239,861.56|668,196,078.41
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|39,813,392.45|601,205,846.30
2.少数股东损益|73,426,469.11|66,990,232.11
六、其他综合收益的税后净额|-247,001.74|928,363.85
归属母公司所有者的其他综合收益的税后净额|-207,860.36|892,691.91
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-207,860.36|892,691.91
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
page|82
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|-207,860.36|892,691.91
9.其他||
归属于少数股东的其他综合收益的税后净额|-39,141.38|35,671.94
七、综合收益总额|112,992,859.82|669,124,442.26
归属于母公司所有者的综合收益总额|39,605,532.09|602,098,538.21
归属于少数股东的综合收益总额|73,387,327.73|67,025,904.05
八、每股收益：||
（一）基本每股收益|0.09|1.33
（二）稀释每股收益|0.09|1.33
