page|76
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,163,878,151.56|1,275,763,783.19
结算备付金|||
拆出资金|||
交易性金融资产|七、2|52,610,325.90|
以公允价值计量且其变动计入当期损益的金融资产|||50,948,000.00
衍生金融资产|||
应收票据|七、4||45,473,864.20
应收账款|七、5|1,608,191,799.92|1,864,979,217.17
应收款项融资|七、6|82,757,899.40|
预付款项|七、7|288,463,632.52|370,216,660.98
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|156,919,023.14|307,900,116.01
其中：应收利息|||
应收股利||2,115,985.51|3,043,361.32
买入返售金融资产|||
存货|七、9|891,950,125.59|1,020,228,442.36
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、12|192,977,653.36|165,452,250.75
流动资产合计||4,437,748,611.39|5,100,962,334.66
非流动资产：|||
page|77
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||11,458,578.27
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|七、16|672,953,745.55|629,352,859.31
其他权益工具投资|七、17|15,687,855.31|
其他非流动金融资产|||
投资性房地产|七、19|113,352,219.54|156,775,130.11
固定资产|七、20|3,008,388,335.76|2,928,470,530.19
在建工程|七、21|632,855,448.62|515,994,386.18
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、25|405,464,714.24|378,486,952.94
开发支出|||
商誉|七、27|1,100,392,354.86|1,193,181,876.68
长期待摊费用|七、28|115,126,813.17|80,251,704.93
递延所得税资产|七、29|136,573,260.13|122,432,944.10
其他非流动资产|七、30|16,235,524.70|18,243,346.46
非流动资产合计||6,217,030,271.88|6,034,648,309.17
资产总计||10,654,778,883.27|11,135,610,643.83
流动负债：|||
短期借款|七、31|850,111,525.68|639,119,784.41
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|七、34|83,224,710.29|69,112,686.00
应付账款|七、35|1,497,297,432.38|1,846,543,273.51
预收款项|七、36|485,291,341.80|618,080,684.61
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、37|193,757,759.67|196,429,040.87
应交税费|七、38|190,636,608.87|108,710,973.90
其他应付款|七、39|349,517,328.97|282,726,824.96
其中：应付利息|||5,998,672.80
应付股利||7,899,469.52|7,986,349.52
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、41|294,251,514.63|703,255,802.22
其他流动负债|七、42|149,784,986.18|89,174,096.84
page|78
流动负债合计||4,093,873,208.47|4,553,153,167.32
非流动负债：|||
保险合同准备金|||
长期借款|七、43|2,198,281,649.70|2,211,808,579.13
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、46|99,574,793.01|97,939,632.76
长期应付职工薪酬|七、47|21,991,813.64|15,960,322.15
预计负债|七、48|121,584,102.31|72,230,042.55
递延收益|七、49|107,514,898.16|92,806,739.88
递延所得税负债|七、29|24,736,633.90|17,442,556.85
其他非流动负债|||
非流动负债合计||2,573,683,890.72|2,508,187,873.32
负债合计||6,667,557,099.19|7,061,341,040.64
所有者权益（或股东权益）：|||
实收资本（或股本）|七、51|852,291,316.00|852,291,316.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、53|723,018,794.55|723,018,794.55
减：库存股|||
其他综合收益|七、55|-20,305,090.87|-55,247,395.21
专项储备|||
盈余公积|七、57|765,039,293.24|709,440,887.37
一般风险准备|||
未分配利润|七、58|1,030,244,049.84|1,061,710,643.35
归属于母公司所有者权益（或股东权益）合计||3,350,288,362.76|3,291,214,246.06
少数股东权益||636,933,421.32|783,055,357.13
所有者权益（或股东权益）合计||3,987,221,784.08|4,074,269,603.19
负债和所有者权益（或股东权益）总计||10,654,778,883.27|11,135,610,643.83
