page|69
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|106,384,555.53|124,064,396.49
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|31,014,274.37|175,934,691.87
应收账款|4,893,085.04|6,433,194.21
应收款项融资|168,037,288.50|
预付款项|17,886,817.95|16,864,281.73
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|10,222,991.39|67,661,463.07
其中：应收利息||
应收股利||
买入返售金融资产||
存货|108,531,308.05|102,534,545.26
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|15,925,583.76|7,646,439.32
流动资产合计|462,895,904.59|501,139,011.95
非流动资产：||
page|70
发放贷款和垫款||
债权投资||
可供出售金融资产||6,284,941.29
其他债权投资|45,000,000.00|
持有至到期投资||
长期应收款|32,200,000.00|
长期股权投资|115,442,216.20|19,152,594.12
其他权益工具投资|6,695,319.99|
其他非流动金融资产||
投资性房地产||
固定资产|805,511,552.81|857,145,725.14
在建工程|59,075,986.81|32,082,501.59
生产性生物资产||
油气资产||
使用权资产||
无形资产|61,253,939.86|63,991,057.91
开发支出||
商誉||
长期待摊费用|5,637,454.81|2,703,221.50
递延所得税资产|10,628,748.93|
其他非流动资产|6,159,565.31|1,972,941.38
非流动资产合计|1,147,604,784.72|983,332,982.93
资产总计|1,610,500,689.31|1,484,471,994.88
流动负债：||
短期借款|219,700,000.00|73,700,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|8,528,101.81|122,091,251.96
应付账款|156,281,614.64|157,247,556.32
预收款项|35,747,267.40|36,030,387.20
page|71
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|53,341,115.27|48,394,122.16
应交税费|13,187,437.05|24,285,403.70
其他应付款|38,789,209.65|38,421,736.34
其中：应付利息|1,304,906.47|1,080,951.98
应付股利|190,968.37|190,968.37
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||3,682,975.45
流动负债合计|525,574,745.82|503,853,433.13
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|1,368,175.32|2,283,576.23
长期应付职工薪酬||
预计负债||
递延收益|23,432,945.40|22,720,293.89
递延所得税负债|9,908,165.66|
其他非流动负债||
非流动负债合计|34,709,286.38|25,003,870.12
负债合计|560,284,032.20|528,857,303.25
所有者权益：||
股本|609,182,254.00|609,182,254.00
其他权益工具||
page|72
其中：优先股||
永续债||
资本公积|25,411,282.40|25,411,282.40
减：库存股||
其他综合收益|410,378.70|
专项储备|2,768,146.60|5,289,629.86
盈余公积|111,738,603.02|111,738,603.02
一般风险准备||
未分配利润|241,833,782.46|179,820,435.37
归属于母公司所有者权益合计|991,344,447.18|931,442,204.65
少数股东权益|58,872,209.93|24,172,486.98
所有者权益合计|1,050,216,657.11|955,614,691.63
负债和所有者权益总计|1,610,500,689.31|1,484,471,994.88
