page|106
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
page|107
销售商品、提供劳务收到的现金||47,981,955,920.76|36,032,087,492.66
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|七、78（1）|1,553,535,864.20|1,562,859,280.82
经营活动现金流入小计||49,535,491,784.96|37,594,946,773.48
购买商品、接受劳务支付的现金||41,005,365,232.39|30,327,709,340.12
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,144,510,126.36|1,761,028,557.16
支付的各项税费||1,175,772,773.43|992,080,029.02
支付其他与经营活动有关的现金|七、78（2）|1,539,329,625.33|1,281,198,911.31
经营活动现金流出小计||45,864,977,757.51|34,362,016,837.61
经营活动产生的现金流量净额||3,670,514,027.45|3,232,929,935.87
二、投资活动产生的现金流量：|||
收回投资收到的现金||22,000,000.00|247,181,495.22
取得投资收益收到的现金||32,132,746.69|20,926,103.94
处置固定资产、无形资产和其他长期资产收回的现金净额||6,670,658.00|2,580,349.42
处置子公司及其他营业单位收到的现金净额||179,638,074.44|
收到其他与投资活动有关的现金|七、78（3）|17,009,869.33|31,341,876.67
page|108
投资活动现金流入小计||257,451,348.46|302,029,825.25
购建固定资产、无形资产和其他长期资产支付的现金||5,052,022,725.37|3,756,304,014.45
投资支付的现金||792,270,594.63|951,950,806.56
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||26,381,289.82|628,602.96
支付其他与投资活动有关的现金|七、78（4）|609,567,709.04|24,144,724.63
投资活动现金流出小计||6,480,242,318.86|4,733,028,148.60
投资活动产生的现金流量净额||-6,222,790,970.40|-4,430,998,323.35
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||116,640,975.00|150,890,919.65
其中：子公司吸收少数股东投资收到的现金||116,640,975.00|150,890,919.65
取得借款收到的现金||12,655,278,522.66|13,562,840,000.00
收到其他与筹资活动有关的现金|七、78（5）|641,927,455.03|137,392,741.10
筹资活动现金流入小计||13,413,846,952.69|13,851,123,660.75
偿还债务支付的现金||8,539,947,462.03|9,281,998,963.32
分配股利、利润或偿付利息支付的现金||2,033,540,553.38|2,092,261,869.62
其中：子公司支付给少数股东的股利、利润||1,629,240.57|40,833,430.55
支付其他与筹资活动有关的现金|七、78（6）|275,911,731.20|153,166,927.93
筹资活动现金流出小计||10,849,399,746.61|11,527,427,760.87
筹资活动产生的现金流量净额||2,564,447,206.08|2,323,695,899.88
四、汇率变动对现金及现金等价物的影响||-2,612,556.44|1,161,911.25
五、现金及现金等价物净增加额  七、79||9,557,706.69|1,126,789,423.65
加：期初现金及现金等价物余额||10,525,705,487.22|9,398,916,063.57
六、期末现金及现金等价物余额  七、79||10,535,263,193.91|10,525,705,487.22
