page|88
项目|2019 年度|2018 年度
一、营业总收入|7,366,107,380.46|6,562,537,391.17
其中：营业收入|7,366,107,380.46|6,562,537,391.17
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|6,529,158,932.05|6,288,788,056.20
其中：营业成本|6,176,576,846.84|5,908,632,574.71
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|76,044,045.94|72,255,815.14
销售费用||
管理费用|79,429,119.96|84,402,987.66
研发费用|1,931,121.85|1,797,135.33
财务费用|195,177,797.46|221,699,543.36
其中：利息费用|194,133,830.29|220,797,566.75
利息收入|2,007,744.17|1,808,745.44
加：其他收益|3,033,845.85|3,832,774.45
page|89
项目|2019 年度|2018 年度
投资收益（损失以“－”号填列）|-5,626,190.47|54,029,389.75
其中：对联营企业和合营企业的投资收益|11,108,290.67|6,479,389.75
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-4,182,688.09|
资产减值损失（损失以“-”号填列）|-12,706,765.12|-23,694,417.88
资产处置收益（损失以“-”号填列）|-1,262,575.47|1,202,431.61
三、营业利润（亏损以“－”号填列）|816,204,075.11|309,119,512.90
加：营业外收入|22,424,326.60|10,868,929.01
减：营业外支出|3,849,767.66|21,903,167.06
四、利润总额（亏损总额以“－”号填列）|834,778,634.05|298,085,274.85
减：所得税费用|243,517,879.67|82,449,530.72
五、净利润（净亏损以“－”号填列）|591,260,754.38|215,635,744.13
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|604,265,873.18|241,085,208.04
2.终止经营净利润（净亏损以“－”号填列）|-13,005,118.80|-25,449,463.91
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|572,988,266.86|208,686,527.74
2.少数股东损益|18,272,487.52|6,949,216.39
六、其他综合收益的税后净额|156,986,865.16|3,984,573.04
归属母公司所有者的其他综合收益的税后净额|157,014,935.86|3,984,573.04
（一）不能重分类进损益的其他综合收益|158,709,303.23|
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|158,709,303.23|
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-1,694,367.37|3,984,573.04
1.权益法下可转损益的其他综合收益|-1,694,367.37|3,984,573.04
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
page|90
项目|2019 年度|2018 年度
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额|-28,070.70|
七、综合收益总额|748,247,619.54|219,620,317.17
归属于母公司所有者的综合收益总额|730,003,202.72|212,671,100.78
归属于少数股东的综合收益总额|18,244,416.82|6,949,216.39
八、每股收益：||
（一）基本每股收益|0.5170|0.1883
（二）稀释每股收益|0.5170|0.1883
