page|94
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|904,987,520.36|1,164,436,869.99
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||80,381,558.38
应收账款|627,237,641.44|987,949,103.07
应收款项融资|40,218,409.69|
预付款项|13,888,960.40|37,708,407.45
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|62,200,798.62|91,422,745.08
其中：应收利息||248,766.32
应收股利||
买入返售金融资产||
存货|362,155,090.48|719,349,357.31
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|154,847,036.88|208,041,356.42
流动资产合计|2,165,535,457.87|3,289,289,397.70
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||3,650,000.00
其他债权投资||
持有至到期投资||
长期应收款|29,461,446.84|38,463,498.85
page|95
长期股权投资|974,065,962.96|1,515,887,268.68
其他权益工具投资|3,650,000.00|
其他非流动金融资产||
投资性房地产|16,969,714.40|17,787,243.91
固定资产|1,422,238,649.95|1,878,665,197.91
在建工程|192,405,133.41|220,442,773.88
生产性生物资产||
油气资产||
使用权资产||
无形资产|470,392,277.38|506,940,195.32
开发支出|45,251,825.75|45,769,051.30
商誉|9,714,595.37|25,744,627.24
长期待摊费用|10,927,866.54|18,717,020.94
递延所得税资产|38,161,328.51|24,579,582.05
其他非流动资产|20,313,365.74|85,354,711.50
非流动资产合计|3,233,552,166.85|4,382,001,171.58
资产总计|5,399,087,624.72|7,671,290,569.28
流动负债：||
短期借款|2,427,017.86|1,863,255,098.01
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|331,693,328.73|437,097,230.14
应付账款|629,163,305.47|978,642,468.54
预收款项|57,955,166.35|67,825,363.32
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|37,887,573.70|48,640,106.51
应交税费|124,489,752.27|106,329,021.74
其他应付款|815,501,004.95|637,627,377.29
其中：应付利息||1,486,458.32
应付股利|9,260,010.27|9,260,010.27
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|20,016,194.44|328,716,928.45
其他流动负债||
page|96
流动负债合计|2,019,133,343.77|4,468,133,594.00
非流动负债：||
保险合同准备金||
长期借款||20,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||32,044,818.66
长期应付职工薪酬||
预计负债|506,202,984.08|452,971,200.00
递延收益|202,165,921.26|246,813,340.00
递延所得税负债||8,751,162.37
其他非流动负债||
非流动负债合计|708,368,905.34|760,580,521.03
负债合计|2,727,502,249.11|5,228,714,115.03
所有者权益：||
股本|1,764,720,000.00|1,764,720,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|4,704,718,753.64|4,704,718,753.64
减：库存股||
其他综合收益|-24,241,554.70|-20,717,993.68
专项储备||
盈余公积|87,142,242.49|87,142,242.49
一般风险准备||
未分配利润|-4,042,478,537.44|-4,281,389,814.94
归属于母公司所有者权益合计|2,489,860,903.99|2,254,473,187.51
少数股东权益|181,724,471.62|188,103,266.74
所有者权益合计|2,671,585,375.61|2,442,576,454.25
负债和所有者权益总计|5,399,087,624.72|7,671,290,569.28
