page|85
项目|2019 年度|2018 年度
一、营业总收入|1,321,304,306.10|1,393,429,072.24
其中：营业收入|1,321,304,306.10|1,393,429,072.24
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,277,748,020.69|1,332,695,082.00
其中：营业成本|1,029,049,562.24|1,158,218,154.42
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|7,274,964.41|8,306,844.86
销售费用|39,168,611.41|29,926,335.98
管理费用|64,253,455.43|65,409,812.92
研发费用|70,272,310.99|8,838,166.75
财务费用|67,729,116.21|61,995,767.07
其中：利息费用|59,220,079.70|54,291,974.60
page|86
利息收入|1,351,700.48|526,986.11
加：其他收益|2,475,008.74|10,354,642.81
投资收益（损失以“－”号填列）|23,121,729.98|
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-25,921,402.72|
资产减值损失（损失以“-”号填列）|-2,988,844.90|-12,815,059.60
资产处置收益（损失以“-”号填列）|8,362.07|
三、营业利润（亏损以“－”号填列）|40,251,138.58|58,273,573.45
加：营业外收入|113,138.12|280,504.44
减：营业外支出|35,401,934.55|36,219,887.13
四、利润总额（亏损总额以“－”号填列）|4,962,342.15|22,334,190.76
减：所得税费用|-12,736,615.61|-12,058,916.85
五、净利润（净亏损以“－”号填列）|17,698,957.76|34,393,107.61
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|17,868,820.85|34,393,107.61
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|18,502,860.51|34,514,698.96
2.少数股东损益|-803,902.75|-121,591.35
六、其他综合收益的税后净额|9,354,225.47|6,912,509.46
归属母公司所有者的其他综合收益的税后净额|9,354,225.47|6,912,509.46
（一）不能重分类进损益的其他综|9,354,225.47|6,912,509.46
page|87
合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他|9,354,225.47|6,912,509.46
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|9,354,225.47|6,912,509.46
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|27,053,183.23|41,305,617.07
归属于母公司所有者的综合收益总额|27,857,085.98|41,427,208.42
归属于少数股东的综合收益总额|-803,902.75|-121,591.35
八、每股收益：||
（一）基本每股收益|0.0199|0.0370
（二）稀释每股收益|0.0199|0.0370
