page|57
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||174,947,824.14|53,298,535.40
收到的税费返还|||
收到其他与经营活动有关的现金|七、76|12,311,184.96|5,038,793.35
经营活动现金流入小计||187,259,009.10|58,337,328.75
购买商品、接受劳务支付的现金||139,417,909.71|42,623,364.29
page|58
支付给职工及为职工支付的现金||21,843,513.41|6,314,610.01
支付的各项税费||11,698,194.16|788,682.09
支付其他与经营活动有关的现金|七、76|25,443,815.52|7,011,145.06
经营活动现金流出小计||198,403,432.80|56,737,801.45
经营活动产生的现金流量净额||-11,144,423.70|1,599,527.30
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||190,931.52|26,187.72
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、76||88,396,618.24
投资活动现金流入小计||190,931.52|88,422,805.96
购建固定资产、无形资产和其他长期资产支付的现金||13,439,195.28|10,942,419.00
投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、76||20,000,000.00
投资活动现金流出小计||13,439,195.28|30,942,419.00
投资活动产生的现金流量净额||-13,248,263.76|57,480,386.96
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||30,000,000.00|
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||30,000,000.00|
偿还债务支付的现金||10,000,000.00|100,000,000.00
分配股利、利润或偿付利息支付的现金||713,849.09|5,683,205.54
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、76||31,709.96
筹资活动现金流出小计||10,713,849.09|105,714,915.50
筹资活动产生的现金流量净额|||19,286,150.91  -105,714,915.50
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-5,106,536.55|-46,635,001.24
加：期初现金及现金等价物余额||136,420,345.50|183,055,346.74
六、期末现金及现金等价物余额||131,313,808.95|136,420,345.50
