page|101
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,481,536,194.11|1,084,557,001.65
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|9,272,540.27|15,999,268.70
收到其他与经营活动有关的现金|219,385,324.83|156,937,190.63
经营活动现金流入小计|2,710,194,059.21|1,257,493,460.98
购买商品、接受劳务支付的现金|1,460,022,346.61|358,984,579.12
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|197,356,614.70|167,985,432.68
支付的各项税费|152,117,714.85|137,070,026.71
支付其他与经营活动有关的现金|584,995,042.45|122,984,817.52
经营活动现金流出小计|2,394,491,718.61|787,024,856.03
page|102
经营活动产生的现金流量净额|315,702,340.60|470,468,604.95
二、投资活动产生的现金流量：||
收回投资收到的现金|117,970,000.00|
取得投资收益收到的现金|46,150,000.00|
处置固定资产、无形资产和其他长期资产收回的现金净额|2,872,355.70|5,811,425.66
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|184,386,618.94|15,655,071.09
投资活动现金流入小计|351,378,974.64|21,466,496.75
购建固定资产、无形资产和其他长期资产支付的现金|751,333,193.26|238,402,013.64
投资支付的现金|130,000,000.00|58,960,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|628,721,632.34|
支付其他与投资活动有关的现金|10,000,000.00|260,000,000.00
投资活动现金流出小计|1,520,054,825.60|557,362,013.64
投资活动产生的现金流量净额|-1,168,675,850.96|-535,895,516.89
三、筹资活动产生的现金流量：||
吸收投资收到的现金|224,763,000.00|771,328,366.04
其中：子公司吸收少数股东投资收到的现金|224,763,000.00|
取得借款收到的现金|2,584,675,876.67|1,488,000,000.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|2,809,438,876.67|2,259,328,366.04
偿还债务支付的现金|1,585,000,000.00|1,479,000,000.00
分配股利、利润或偿付利息支付的现金|167,307,945.27|178,567,966.90
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|107,183,144.21|9,630,169.95
筹资活动现金流出小计|1,859,491,089.48|1,667,198,136.85
筹资活动产生的现金流量净额|949,947,787.19|592,130,229.19
四、汇率变动对现金及现金等价物的影响|-1,187,930.00|
page|103
五、现金及现金等价物净增加额|95,786,346.83|526,703,317.25
加：期初现金及现金等价物余额|792,445,053.44|265,741,736.19
六、期末现金及现金等价物余额|888,231,400.27|792,445,053.44
