page|53
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|38,095,501.00|34,108,330.27
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||69,185,516.71
应收账款|138,755,691.43|116,797,834.51
应收款项融资|42,096,834.02|
预付款项|23,007,637.46|31,348,429.54
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|6,351,361.16|5,777,179.08
其中：应收利息||
应收股利||
page|54
买入返售金融资产||
存货|66,971,551.96|62,973,909.38
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|1,395,071.36|59,370.18
流动资产合计|316,673,648.39|320,250,569.67
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产|48,952,992.57|50,681,322.86
固定资产|198,229,817.31|188,083,873.38
在建工程||5,727,760.23
生产性生物资产||
油气资产||
使用权资产||
无形资产|42,968,600.44|41,815,689.74
开发支出||
商誉||
长期待摊费用|309,781.15|542,116.99
递延所得税资产|6,803,360.00|6,829,856.59
其他非流动资产|225,700.00|3,158,964.00
非流动资产合计|297,490,251.47|296,839,583.79
资产总计|614,163,899.86|617,090,153.46
流动负债：||
短期借款|24,633,898.20|161,568,657.88
向中央银行借款||
page|55
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|16,761,590.51|27,642,356.66
应付账款|108,804,905.20|60,975,306.43
预收款项|356,446.21|159,528.60
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|5,877,341.25|4,700,208.36
应交税费|12,877,944.98|11,232,819.87
其他应付款|28,027,592.62|26,778,863.92
其中：应付利息|89,365.28|439,558.70
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|12,000,000.00|
其他流动负债||
流动负债合计|209,339,718.97|293,057,741.72
非流动负债：||
保险合同准备金||
长期借款|73,000,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|64,411.00|64,411.00
page|56
递延收益|2,331,720.00|
递延所得税负债||
其他非流动负债||
非流动负债合计|75,396,131.00|64,411.00
负债合计|284,735,849.97|293,122,152.72
所有者权益：||
股本|283,161,227.00|283,161,227.00
其他权益工具||
其中：优先股||
永续债||
资本公积|146,587,271.50|146,587,271.50
减：库存股||
其他综合收益||
专项储备||
盈余公积|77,391,593.25|77,391,593.25
一般风险准备||
未分配利润|-177,712,041.86|-183,172,091.01
归属于母公司所有者权益合计|329,428,049.89|323,968,000.74
少数股东权益||
所有者权益合计|329,428,049.89|323,968,000.74
负债和所有者权益总计|614,163,899.86|617,090,153.46
