page|124
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,483,191,705.95|2,249,609,787.38
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
page|125
收到其他与经营活动有关的现金|216,422,341.36|167,469,434.48
经营活动现金流入小计|2,699,614,047.31|2,417,079,221.86
购买商品、接受劳务支付的现金|1,890,745,956.84|1,706,021,484.25
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|250,934,217.43|235,984,588.65
支付的各项税费|102,658,855.62|72,200,042.24
支付其他与经营活动有关的现金|527,197,711.85|463,129,356.61
经营活动现金流出小计|2,771,536,741.74|2,477,335,471.75
经营活动产生的现金流量净额|-71,922,694.43|-60,256,249.89
二、投资活动产生的现金流量：||
收回投资收到的现金|950,000,000.00|8,010,000.00
取得投资收益收到的现金|14,414,868.17|26,534,779.87
处置固定资产、无形资产和其他长期资产收回的现金净额|9,677,740.98|21,693,358.19
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|974,092,609.15|56,238,138.06
购建固定资产、无形资产和其他长期资产支付的现金|380,962,228.62|412,106,248.63
投资支付的现金|601,734,800.00|23,120,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|982,697,028.62|435,226,248.63
投资活动产生的现金流量净额|-8,604,419.47|-378,988,110.57
三、筹资活动产生的现金流量：||
吸收投资收到的现金|41,999,994.28|4,280,000.00
page|126
其中：子公司吸收少数股东投资收到的现金||4,280,000.00
取得借款收到的现金|821,496,000.00|911,000,000.00
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|863,495,994.28|915,280,000.00
偿还债务支付的现金|732,450,000.00|548,820,000.00
分配股利、利润或偿付利息支付的现金|77,066,567.32|63,075,712.47
其中：子公司支付给少数股东的股利、利润|560,000.00|1,200,000.00
支付其他与筹资活动有关的现金|20,604,954.14|122,334,605.97
筹资活动现金流出小计|830,121,521.46|734,230,318.44
筹资活动产生的现金流量净额|33,374,472.82|181,049,681.56
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|-47,152,641.08|-258,194,678.90
加：期初现金及现金等价物余额|821,649,438.93|1,079,844,117.83
六、期末现金及现金等价物余额|774,496,797.85|821,649,438.93
