page|85
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|150,478,592.16|436,968,666.83
客户存款和同业存放款项净增加额|1,108,008.59|404,300,000.00
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
page|86
收到的税费返还|7,732,686.17|8,164,472.96
收到其他与经营活动有关的现金|32,683,586.54|60,675,739.23
经营活动现金流入小计|192,002,873.46|910,108,879.02
购买商品、接受劳务支付的现金|23,887,442.41|294,430,053.10
客户贷款及垫款净增加额||321,100,000.00
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|65,679,405.00|120,817,316.42
支付的各项税费|18,536,134.92|77,345,795.20
支付其他与经营活动有关的现金|61,149,001.31|92,186,614.86
经营活动现金流出小计|169,251,983.64|905,879,779.58
经营活动产生的现金流量净额|22,750,889.82|4,229,099.44
二、投资活动产生的现金流量：||
收回投资收到的现金|4,200,000.00|9,000,000.00
取得投资收益收到的现金|23,020,288.06|25,001,280.85
处置固定资产、无形资产和其他长期资产收回的现金净额|1,760,262.68|244,870,357.24
处置子公司及其他营业单位收到的现金净额|11,338,317.91|
收到其他与投资活动有关的现金|43,200,000.00|158,802,004.57
投资活动现金流入小计|83,518,868.65|437,673,642.66
购建固定资产、无形资产和其他长期资产支付的现金|180,421.38|12,219,270.17
投资支付的现金|900,000.00|336,040,650.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|79,860.79|58,509,137.22
支付其他与投资活动有关的现金|72,737,737.48|106,721,393.70
投资活动现金流出小计|73,898,019.65|513,490,451.09
投资活动产生的现金流量净额|9,620,849.00|-75,816,808.43
三、筹资活动产生的现金流量：||
page|87
吸收投资收到的现金||1,690,000.00
其中：子公司吸收少数股东投资收到的现金||1,690,000.00
取得借款收到的现金|202,499,385.85|228,233,682.92
收到其他与筹资活动有关的现金||
筹资活动现金流入小计|202,499,385.85|229,923,682.92
偿还债务支付的现金|222,536,736.57|183,390,000.00
分配股利、利润或偿付利息支付的现金|38,792,467.03|34,596,171.46
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金|17,729.98|3,000,000.00
筹资活动现金流出小计|261,346,933.58|220,986,171.46
筹资活动产生的现金流量净额|-58,847,547.73|8,937,511.46
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|-26,475,808.91|-62,650,197.53
加：期初现金及现金等价物余额|97,808,511.15|160,458,708.68
六、期末现金及现金等价物余额|71,332,702.24|97,808,511.15
