page|94
项目|2019 年度|2018 年度
一、营业总收入|2,278,792,184.56|2,518,270,937.01
其中：营业收入|2,278,792,184.56|2,518,270,937.01
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|2,281,559,866.50|2,452,084,038.30
其中：营业成本|1,949,185,454.21|2,173,771,782.73
利息支出||
手续费及佣金支出||
page|95
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|20,917,129.51|27,782,919.99
销售费用|94,355,770.56|72,272,988.79
管理费用|122,690,765.25|128,191,645.35
研发费用|21,483,867.27|
财务费用|72,926,879.70|50,064,701.44
其中：利息费用|77,154,954.86|50,356,022.02
利息收入|6,880,317.24|967,233.54
加：其他收益|57,765,698.51|86,427,376.36
投资收益（损失以“－”号填列）|-7,546,665.88|-7,797,659.27
其中：对联营企业和合营企业的投资收益|-6,730,958.94|-9,128,176.15
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-8,343,043.53|
资产减值损失（损失以“-”号填列）|-104,036,637.32|-51,360,380.98
资产处置收益（损失以“-”号填列）|-48,121.22|-3,260,127.09
三、营业利润（亏损以“－”号填列）|-64,976,451.38|90,196,107.73
加：营业外收入|1,235,889.93|8,707,260.08
减：营业外支出|3,021,535.75|2,369,129.79
四、利润总额（亏损总额以“－”号填列）|-66,762,097.20|96,534,238.02
减：所得税费用|-4,380,432.70|-1,178,946.49
五、净利润（净亏损以“－”号填列）|-62,381,664.50|97,713,184.51
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|-62,381,664.50|97,713,184.51
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|-59,240,634.67|108,377,591.81
2.少数股东损益|-3,141,029.83|-10,664,407.30
page|96
六、其他综合收益的税后净额|-92.19|-191.38
归属母公司所有者的其他综合收益的税后净额|-92.19|-191.38
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-92.19|-191.38
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|-92.19|-191.38
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|-62,381,756.69|97,712,993.13
归属于母公司所有者的综合收益总额|-59,240,726.86|108,377,400.43
归属于少数股东的综合收益总额|-3,141,029.83|-10,664,407.30
八、每股收益：||
（一）基本每股收益|-0.11|0.20
（二）稀释每股收益|-0.11|0.20
