page|111
项目|2019 年度|2018 年度
一、营业总收入|6,655,063,577.50|6,580,278,918.05
其中：营业收入|6,655,063,577.50|6,580,278,918.05
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|6,295,992,405.79|6,209,290,673.40
其中：营业成本|5,190,548,635.95|5,146,747,725.32
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|27,219,661.74|31,488,529.59
销售费用|432,249,815.64|424,236,422.81
管理费用|460,943,339.18|453,895,855.85
研发费用|36,577,562.55|36,692,276.40
财务费用|148,453,390.73|116,229,863.43
其中：利息费用|164,767,519.18|149,848,517.52
利息收入|17,116,251.46|16,270,870.20
加：其他收益|13,261,788.54|17,203,134.16
投资收益（损失以“－”号填列）|2,993,513.89|-5,916,961.10
其中：对联营企业和合营企业的投资收益||
page|112
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-30,463,893.89|
资产减值损失（损失以“-”号填列）|0.00|-1,576,906,234.10
资产处置收益（损失以“-”号填列）|141,660.55|-730,649.80
三、营业利润（亏损以“－”号填列）|345,004,240.80|-1,195,362,466.19
加：营业外收入|1,989,452.07|4,350,507.67
减：营业外支出|15,516,450.93|20,396,253.59
四、利润总额（亏损总额以“－”号填列）|331,477,241.94|-1,211,408,212.11
减：所得税费用|67,755,519.01|71,775,073.99
五、净利润（净亏损以“－”号填列）|263,721,722.93|-1,283,183,286.10
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|263,721,722.93|-1,283,183,286.10
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|236,301,518.87|-1,296,605,450.24
2.少数股东损益|27,420,204.06|13,422,164.14
六、其他综合收益的税后净额|2,522,256.82|644,277.76
归属母公司所有者的其他综合收益的税后净额|2,522,256.82|644,277.76
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
page|113
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|2,522,256.82|644,277.76
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|2,522,256.82|644,277.76
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|266,243,979.75|-1,282,539,008.34
归属于母公司所有者的综合收益总额|238,823,775.69|-1,295,961,172.48
归属于少数股东的综合收益总额|27,420,204.06|13,422,164.14
八、每股收益：||
（一）基本每股收益|0.15|-0.800
（二）稀释每股收益|0.15|-0.800
