page|71
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,004,600,795.09|2,126,273,595.48
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|40,960,146.69|49,766,607.79
收到其他与经营活动有关的现金|82,134,833.71|54,618,552.89
经营活动现金流入小计|2,127,695,775.49|2,230,658,756.16
购买商品、接受劳务支付的现金|1,095,964,330.85|1,451,345,470.61
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|373,090,077.49|342,272,386.65
支付的各项税费|127,089,199.21|145,631,731.39
支付其他与经营活动有关的现金|249,826,429.54|302,603,458.26
经营活动现金流出小计|1,845,970,037.09|2,241,853,046.91
经营活动产生的现金流量净额|281,725,738.40|-11,194,290.75
二、投资活动产生的现金流量：||
page|72
收回投资收到的现金|702,987,898.00|532,400,000.00
取得投资收益收到的现金|7,174,341.24|6,534,931.67
处置固定资产、无形资产和其他长期资产收回的现金净额|308,282.15|6,694,927.54
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|710,470,521.39|545,629,859.21
购建固定资产、无形资产和其他长期资产支付的现金|37,729,056.06|21,016,443.59
投资支付的现金|572,000,000.00|515,200,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||19,810,918.89
支付其他与投资活动有关的现金||
投资活动现金流出小计|609,729,056.06|556,027,362.48
投资活动产生的现金流量净额|100,741,465.33|-10,397,503.27
三、筹资活动产生的现金流量：||
吸收投资收到的现金|1,245,000.00|4,001,600.00
其中：子公司吸收少数股东投资收到的现金|1,245,000.00|4,001,600.00
取得借款收到的现金|150,000,000.00|360,966,750.00
收到其他与筹资活动有关的现金|50,000,000.00|
筹资活动现金流入小计|201,245,000.00|364,968,350.00
偿还债务支付的现金|225,000,000.00|307,326,500.00
分配股利、利润或偿付利息支付的现金|49,845,973.69|24,546,769.62
其中：子公司支付给少数股东的股利、利润||2,252,000.00
支付其他与筹资活动有关的现金||
筹资活动现金流出小计|274,845,973.69|331,873,269.62
筹资活动产生的现金流量净额|-73,600,973.69|33,095,080.38
四、汇率变动对现金及现金等价物的影响|194,398.47|-117,363.20
五、现金及现金等价物净增加额|309,060,628.51|11,385,923.16
加：期初现金及现金等价物余额|377,293,615.81|365,907,692.65
六、期末现金及现金等价物余额|686,354,244.32|377,293,615.81
