page|47
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||1,239,143,722.99|1,314,235,233.83
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||
应收账款||404,973,057.12|500,563,472.59
应收款项融资|||
预付款项||30,850,487.27|31,049,150.14
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||88,139,547.92|97,607,399.45
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||157,863,278.67|180,709,639.17
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||1,633,682.90|1,658,948.45
流动资产合计||1,922,603,776.87|2,125,823,843.63
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||35,799,602.86
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资||2,328,993.61|2,450,843.70
其他权益工具投资||12,459,384.21|
其他非流动金融资产||6,955,891.26|
page|48
投资性房地产|||
固定资产||344,642,873.48|365,298,410.95
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||107,683,046.93|157,707,191.55
开发支出||5,297,187.77|18,068,278.97
商誉|||
长期待摊费用||589,711.32|1,550,900.98
递延所得税资产||1,793,543.98|1,644,370.46
其他非流动资产||1,987,706.00|1,987,706.00
非流动资产合计||483,738,338.56|584,507,305.47
资产总计||2,406,342,115.43|2,710,331,149.10
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款||295,224,805.25|291,145,700.82
预收款项||126,588,110.07|118,345,458.53
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||4,141,005.79|3,227,344.06
应交税费||12,054,628.68|26,808,674.54
其他应付款||66,866,904.02|56,038,831.85
其中：应付利息|||
应付股利||10,529,140.48|10,529,140.48
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债||7,183,551.25|6,543,836.97
流动负债合计||512,059,005.06|502,109,846.77
page|49
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债||1,175,138,135.34|2,981,977,591.40
递延收益|||
递延所得税负债|||
其他非流动负债|||
非流动负债合计||1,175,138,135.34|2,981,977,591.40
负债合计||1,687,197,140.40|3,484,087,438.17
所有者权益（或股东权益）：|||
实收资本（或股本）||631,052,069.00|631,052,069.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||1,410,500,904.71|1,410,500,904.71
减：库存股|||
其他综合收益||-8,279,273.46|-712,447.10
专项储备|||
盈余公积||276,035,304.00|276,035,304.00
一般风险准备|||
未分配利润||-1,586,071,899.79|-3,087,197,669.12
归属于母公司所有者权益（或股东权益）合计||723,237,104.46|-770,321,838.51
少数股东权益||-4,092,129.43|-3,434,450.56
所有者权益（或股东权益）合计||719,144,975.03|-773,756,289.07
负债和所有者权益（或股东权益）总计||2,406,342,115.43|2,710,331,149.10
