page|55
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||2,068,354,535.59|1,082,482,487.26
结算备付金|||
拆出资金|||
交易性金融资产||3,100,000.00|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据||11,654,125.00|
应收账款||88,383,534.61|189,160,629.62
应收款项融资||15,000,000.00|
预付款项||21,936,263.50|50,757,058.24
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||358,198,976.22|50,036,127.02
其中：应收利息|||
应收股利||4,256,841.60|
买入返售金融资产|||
存货||59,620,444.73|30,659,696.28
持有待售资产|||4,110,897,213.25
一年内到期的非流动资产|||
其他流动资产||466,523.30|4,311,437.73
流动资产合计||2,626,714,402.95|5,518,304,649.40
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||614,808,407.80
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资||735,277,538.85|713,103,404.34
其他权益工具投资|||
其他非流动金融资产||729,641,348.76|
投资性房地产|||
固定资产||2,692,708.37|1,902,040.22
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
page|56
无形资产||250,324.50|116,884.35
开发支出|||
商誉||20,669,429.24|132,646,158.64
长期待摊费用||5,139,699.62|
递延所得税资产||8,919,592.77|6,092,038.84
其他非流动资产|||875,860.22
非流动资产合计||1,502,590,642.11|1,469,544,794.41
资产总计||4,129,305,045.06|6,987,849,443.81
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款||27,250,720.26|53,628,625.36
预收款项||5,822,150.57|4,945,462.13
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||2,281,634.70|1,619,263.09
应交税费||343,523,455.47|216,470,800.65
其他应付款||13,038,183.25|917,112,815.61
其中：应付利息|||154,840.29
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||3,258,600,372.27
一年内到期的非流动负债|||80,000,000.00
其他流动负债|||
流动负债合计||391,916,144.25|4,532,377,339.11
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||4,001,716.77|4,001,716.77
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债||127,916,722.19|
其他非流动负债|||
非流动负债合计||131,918,438.96|4,001,716.77
page|57
负债合计||523,834,583.21|4,536,379,055.88
所有者权益（或股东权益）：|||
实收资本（或股本）||871,789,092.00|871,789,092.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||157,539,603.80|157,539,603.80
减：库存股||4,059,718.40|
其他综合收益|||374,257,247.80
专项储备|||
盈余公积||383,378,959.52|228,228,283.35
一般风险准备|||
未分配利润||2,196,822,524.93|819,656,160.98
归属于母公司所有者权益（或股东权益）合计||3,605,470,461.85|2,451,470,387.93
少数股东权益|||
所有者权益（或股东权益）合计||3,605,470,461.85|2,451,470,387.93
负债和所有者权益（或股东权益）总计||4,129,305,045.06|6,987,849,443.81
