page|71
项目|2019 年度|2018 年度
一、营业总收入|1,379,754,926.74|835,775,647.18
其中：营业收入|1,379,754,926.74|835,775,647.18
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,190,888,032.15|754,128,185.83
其中：营业成本|964,517,564.11|543,944,759.28
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|8,637,427.55|7,408,350.77
销售费用|27,844,160.10|34,518,202.60
管理费用|137,433,045.79|119,605,547.00
研发费用|42,872,131.48|29,588,301.00
财务费用|9,583,703.12|19,063,025.18
page|72
其中：利息费用|24,939,202.80|32,944,920.44
利息收入|10,511,196.24|4,654,145.52
加：其他收益|10,031,064.77|9,787,316.23
投资收益（损失以“－”号填列）|-57,358,550.83|-342,618.97
其中：对联营企业和合营企业的投资收益|-66,866,031.17|-50,016,404.58
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|201,303.20|-6,838,764.25
信用减值损失（损失以“-”号填列）|-27,604,227.03|
资产减值损失（损失以“-”号填列）|-68,157,472.11|-309,600,256.05
资产处置收益（损失以“-”号填列）||15,703.73
三、营业利润（亏损以“－”号填列）|45,979,012.59|-225,331,157.96
加：营业外收入|1,424,319.46|300,232.63
减：营业外支出|2,835,227.55|259,895.95
四、利润总额（亏损总额以“－”号填列）|44,568,104.50|-225,290,821.28
减：所得税费用|12,943,545.72|17,249,642.91
五、净利润（净亏损以“－”号填列）|31,624,558.78|-242,540,464.19
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|31,624,558.78|-242,540,464.19
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|37,561,253.38|-233,913,937.03
2.少数股东损益|-5,936,694.60|-8,626,527.16
六、其他综合收益的税后净额|1,969,911.81|12,159,827.13
page|73
归属母公司所有者的其他综合收益的税后净额|2,233,495.13|12,010,486.69
（一）不能重分类进损益的其他综合收益|-1,822,667.63|
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|-1,822,667.63|
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|4,056,162.76|12,010,486.69
1.权益法下可转损益的其他综合收益|1,412,394.08|-485,696.62
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||-1,344,701.05
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|2,643,768.68|13,840,884.36
9.其他||
归属于少数股东的其他综合收益的税后净额|-263,583.32|149,340.44
七、综合收益总额|33,594,470.59|-230,380,637.06
归属于母公司所有者的综合收益总额|39,794,748.51|-221,903,450.34
归属于少数股东的综合收益总额|-6,200,277.92|-8,477,186.72
八、每股收益：||
page|74
（一）基本每股收益|0.04|-0.26
（二）稀释每股收益|0.04|-0.26
