page|86
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|15,896,887.54|5,959,200.38
结算备付金||
拆出资金||
交易性金融资产|70,032,481.25|
衍生金融资产||
应收票据||
应收账款|18,385,559.72|46,170,223.46
应收款项融资||
预付款项|33,900,460.00|8,725,120.60
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|24,752,655.26|285,533,687.85
其中：应收利息||
应收股利||
买入返售金融资产||
存货||
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|10,058,944.98|11,122,977.90
流动资产合计|173,026,988.75|357,511,210.19
非流动资产：||
发放贷款和垫款||
债权投资||
page|87
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|14,000,000.00|28,000,000.00
其他非流动金融资产||
投资性房地产|216,029,100.00|217,251,600.00
固定资产||
在建工程||
生产性生物资产||
油气资产||
使用权资产||
无形资产||
开发支出||
商誉||
长期待摊费用||
递延所得税资产||
其他非流动资产||
非流动资产合计|230,029,100.00|245,251,600.00
资产总计|403,056,088.75|602,762,810.19
流动负债：||
短期借款|248,469,826.80|248,469,826.80
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据||
应付账款|60,938,495.00|60,656,616.94
预收款项||2,857,236.01
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|189,617.37|
page|88
应交税费|23,181,845.21|24,173,925.16
其他应付款|195,148,717.43|191,085,970.09
其中：应付利息|10,566,770.90|2,616,250.00
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||
流动负债合计|527,928,501.81|527,243,575.00
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|29,221,821.81|28,601,005.31
递延收益||
递延所得税负债|20,289,058.22|18,970,046.05
其他非流动负债||
非流动负债合计|49,510,880.03|47,571,051.36
负债合计|577,439,381.84|574,814,626.36
所有者权益：||
股本|176,000,000.00|176,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|396,200,223.07|396,200,223.07
减：库存股||
其他综合收益||
专项储备||
page|89
盈余公积|38,257,186.79|38,257,186.79
一般风险准备||
未分配利润|-789,359,410.67|-586,872,760.47
归属于母公司所有者权益合计|-178,902,000.81|23,584,649.39
少数股东权益|4,518,707.72|4,363,534.44
所有者权益合计|-174,383,293.09|27,948,183.83
负债和所有者权益总计|403,056,088.75|602,762,810.19
