page|109
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|2,141,245,897.88|1,870,142,568.14
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|22,207,608.29|15,554,965.89
收到其他与经营活动有关的现金|150,730,866.43|85,792,615.59
经营活动现金流入小计|2,314,184,372.60|1,971,490,149.62
购买商品、接受劳务支付的现金|791,862,287.52|779,601,712.41
客户贷款及垫款净增加额||
page|110
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|306,700,185.82|297,292,770.06
支付的各项税费|222,759,432.04|202,432,300.54
支付其他与经营活动有关的现金|220,705,906.21|207,903,969.46
经营活动现金流出小计|1,542,027,811.59|1,487,230,752.47
经营活动产生的现金流量净额|772,156,561.01|484,259,397.15
二、投资活动产生的现金流量：||
收回投资收到的现金|265,438.10|20,000,000.00
取得投资收益收到的现金|1,190,166.96|723,690.84
处置固定资产、无形资产和其他长期资产收回的现金净额|226,294.37|642,228.00
处置子公司及其他营业单位收到的现金净额||10,026,345.31
收到其他与投资活动有关的现金|466,791,628.58|249,191,783.70
投资活动现金流入小计|468,473,528.01|280,584,047.85
购建固定资产、无形资产和其他长期资产支付的现金|218,398,692.18|196,060,046.15
投资支付的现金|18,608,000.00|26,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|-313,903.02|
支付其他与投资活动有关的现金|568,075,730.00|292,350,000.00
投资活动现金流出小计|804,768,519.16|514,410,046.15
投资活动产生的现金流量净额|-336,294,991.15|-233,825,998.30
三、筹资活动产生的现金流量：||
吸收投资收到的现金|858,309,996.93|
其中：子公司吸收少数股东投资收到的现金|34,810,000.00|
取得借款收到的现金|238,113,383.39|450,447,350.49
收到其他与筹资活动有关的现金|1,000,752.24|21,600,000.00
筹资活动现金流入小计|1,097,424,132.56|472,047,350.49
偿还债务支付的现金|546,303,678.10|641,155,566.00
分配股利、利润或偿付利息支付的现金|79,082,327.86|98,304,981.63
其中：子公司支付给少数股东的股利、利润|12,000,000.00|8,000,000.00
page|111
支付其他与筹资活动有关的现金|21,000,469.28|
筹资活动现金流出小计|646,386,475.24|739,460,547.63
筹资活动产生的现金流量净额|451,037,657.32|-267,413,197.14
四、汇率变动对现金及现金等价物的影响|-5,589,228.35|1,178,287.24
五、现金及现金等价物净增加额|881,309,998.83|-15,801,511.05
加：期初现金及现金等价物余额|219,008,883.99|234,810,395.04
六、期末现金及现金等价物余额|1,100,318,882.82|219,008,883.99
