page|101
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|103,338,378.60|169,917,232.39
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据|268,267.58|
应收账款|229,887,163.85|211,402,686.97
应收款项融资|28,244,675.62|22,104,336.12
预付款项|27,146,164.35|15,934,634.78
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|3,932,167.45|7,394,802.57
其中：应收利息||1,125.00
应收股利||
买入返售金融资产||
存货|252,413,193.90|200,473,212.99
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|44,917,332.07|16,402,446.19
流动资产合计|690,147,343.42|643,629,352.01
非流动资产：||
发放贷款和垫款||
债权投资||
page|102
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产||
投资性房地产||
固定资产|536,960,924.92|418,554,334.30
在建工程|349,431,928.43|186,057,538.72
生产性生物资产||
油气资产||
使用权资产||
无形资产|115,838,232.00|86,027,531.05
开发支出||
商誉|34,247,285.10|34,247,285.10
长期待摊费用|2,493,969.81|2,683,691.76
递延所得税资产|13,743,637.98|6,994,216.33
其他非流动资产|68,839,554.50|83,744,611.44
非流动资产合计|1,121,555,532.74|818,309,208.70
资产总计|1,811,702,876.16|1,461,938,560.71
流动负债：||
短期借款|161,700,000.00|96,789,464.56
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债||
应付票据|158,444,999.29|146,029,141.08
应付账款|120,800,795.36|95,765,935.51
预收款项||7,554,045.37
合同负债|9,547,022.14|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|20,215,555.94|16,578,730.69
page|103
应交税费|10,719,279.89|4,159,613.72
其他应付款|21,592,603.65|32,218,934.84
其中：应付利息|764,637.59|515,991.50
应付股利|160,028.75|177,408.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|18,897,377.70|19,405,645.84
其他流动负债|350,349.53|83,629.97
流动负债合计|522,267,983.50|418,585,141.58
非流动负债：||
保险合同准备金||
长期借款|232,929,106.41|98,266,666.65
应付债券|114,578,166.41|146,642,674.59
其中：优先股||
永续债||
租赁负债||
长期应付款|21,644,204.31|18,385,837.60
长期应付职工薪酬||
预计负债|1,867,612.12|1,867,612.12
递延收益|47,709,925.84|16,700,617.54
递延所得税负债|1,722,804.45|2,316,366.29
其他非流动负债||
非流动负债合计|420,451,819.54|284,179,774.79
负债合计|942,719,803.04|702,764,916.37
所有者权益：||
股本|198,932,800.00|194,534,400.00
其他权益工具|41,993,847.16|58,788,518.05
其中：优先股||
永续债||
资本公积|273,877,464.27|217,335,903.57
减：库存股|7,466,427.25|19,264,432.00
其他综合收益||
专项储备||
page|104
盈余公积|39,347,331.93|30,959,031.98
一般风险准备||
未分配利润|271,530,945.42|227,574,690.72
归属于母公司所有者权益合计|818,215,961.53|709,928,112.32
少数股东权益|50,767,111.59|49,245,532.02
所有者权益合计|868,983,073.12|759,173,644.34
负债和所有者权益总计|1,811,702,876.16|1,461,938,560.71
