page|108
项目|2019 年度|2018 年度
一、营业总收入|500,871,034.65|539,308,689.46
其中：营业收入|500,871,034.65|539,308,689.46
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|360,050,351.09|281,693,379.88
其中：营业成本|137,524,321.13|90,322,032.01
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|3,398,222.60|5,986,106.15
销售费用|75,433,711.07|75,509,686.69
管理费用|55,583,333.67|37,369,769.55
研发费用|124,541,116.24|78,440,716.15
财务费用|-36,430,353.62|-5,934,930.67
其中：利息费用||
利息收入|36,362,792.60|5,901,217.30
加：其他收益|13,486,083.60|403,580.00
投资收益（损失以“－”号填列）|-2,213,954.70|20,529,267.62
其中：对联营企业和合营企业的投资收益|-3,853,406.74|-2,585,417.32
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-76,583,925.62|
page|109
资产减值损失（损失以“-”号填列）||-2,824,731.78
资产处置收益（损失以“-”号填列）||
三、营业利润（亏损以“－”号填列）|75,508,886.84|275,723,425.42
加：营业外收入||180,746.81
减：营业外支出|7,720,335.55|259,000.00
四、利润总额（亏损总额以“－”号填列）|67,788,551.29|275,645,172.23
减：所得税费用|-14,551,107.19|25,133,599.57
五、净利润（净亏损以“－”号填列）|82,339,658.48|250,511,572.66
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|82,339,658.48|250,511,572.66
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|75,969,785.15|248,786,599.32
2.少数股东损益|6,369,873.33|1,724,973.34
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|82,339,658.48|250,511,572.66
page|110
归属于母公司所有者的综合收益总额|75,969,785.15|248,786,599.32
归属于少数股东的综合收益总额|6,369,873.33|1,724,973.34
八、每股收益：||
（一）基本每股收益|0.19|0.69
（二）稀释每股收益|0.19|0.69
