page|105
项目|2020 年度|2019 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|789,216,810.13|966,769,948.69
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|2,532,661.66|11,215,789.43
收到其他与经营活动有关的现金|118,295,367.71|116,320,785.22
经营活动现金流入小计|910,044,839.50|1,094,306,523.34
购买商品、接受劳务支付的现金|552,015,827.90|539,322,651.38
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
page|106
支付保单红利的现金||
支付给职工以及为职工支付的现金|199,580,091.02|203,794,727.23
支付的各项税费|49,670,166.83|93,178,514.77
支付其他与经营活动有关的现金|93,709,164.18|182,820,947.96
经营活动现金流出小计|894,975,249.93|1,019,116,841.34
经营活动产生的现金流量净额|15,069,589.57|75,189,682.00
二、投资活动产生的现金流量：||
收回投资收到的现金||
取得投资收益收到的现金||
处置固定资产、无形资产和其他长期资产收回的现金净额|1,951,182.97|1,740,481.94
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|13,373,300.00|5,188,679.25
投资活动现金流入小计|15,324,482.97|6,929,161.19
购建固定资产、无形资产和其他长期资产支付的现金|203,165,103.92|203,734,312.71
投资支付的现金|25,300,000.00|78,926,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金|15,250,000.00|
投资活动现金流出小计|243,715,103.92|282,660,312.71
投资活动产生的现金流量净额|-228,390,620.95|-275,731,151.52
三、筹资活动产生的现金流量：||
吸收投资收到的现金|519,699,985.30|
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金|1,328,000,000.00|1,192,300,000.00
收到其他与筹资活动有关的现金|566,372,078.14|643,627,364.86
筹资活动现金流入小计|2,414,072,063.44|1,835,927,364.86
偿还债务支付的现金|1,370,139,989.32|880,723,338.80
分配股利、利润或偿付利息支付的现金|72,758,367.19|83,685,025.77
其中：子公司支付给少数股东的||
page|107
股利、利润||
支付其他与筹资活动有关的现金|720,413,387.64|679,825,703.36
筹资活动现金流出小计|2,163,311,744.15|1,644,234,067.93
筹资活动产生的现金流量净额|250,760,319.29|191,693,296.93
四、汇率变动对现金及现金等价物的影响|-5,213,542.96|1,506,256.48
五、现金及现金等价物净增加额|32,225,744.95|-7,341,916.11
加：期初现金及现金等价物余额|132,396,329.90|139,738,246.01
六、期末现金及现金等价物余额|164,622,074.85|132,396,329.90
