page|98
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,543,248,741.12|1,374,403,751.18
page|99
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||47,381,817.33|22,929,766.40
收到其他与经营活动有关的现金|五、49(1)|22,436,976.18|23,079,644.24
经营活动现金流入小计||1,613,067,534.63|1,420,413,161.82
购买商品、接受劳务支付的现金||1,318,245,835.75|1,084,733,563.11
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||85,133,357.39|78,403,840.37
支付的各项税费||41,546,026.15|55,351,590.58
支付其他与经营活动有关的现金|五、49(2)|139,220,545.02|47,312,522.48
经营活动现金流出小计||1,584,145,764.31|1,265,801,516.54
经 营 活动 产生 的 现金 流量净额||28,921,770.32|154,611,645.28
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||4,558,771.10|312,225.38
处置固定资产、无形资产和其他长期资产收回的现金净额||105,477.88|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|五、49(3)|516,100,000.00|80,062,213.22
投资活动现金流入小计||520,764,248.98|80,374,438.60
购建固定资产、无形资产和其||518,652,890.20|77,398,709.73
page|100
他长期资产支付的现金|||
投资支付的现金||5,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|五、50(2)|2,000,000.00|2,000,000.00
支付其他与投资活动有关的现金|五、49(4)|508,000,000.00|138,100,000.00
投资活动现金流出小计||1,033,652,890.20|217,498,709.73
投 资 活动 产生 的 现金 流量净额||-512,888,641.22|-137,124,271.13
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||383,504,600.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||596,651,323.03|335,082,897.18
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||980,155,923.03|335,082,897.18
偿还债务支付的现金||273,630,174.92|266,550,416.91
分配股利、利润或偿付利息支付的现金||32,390,724.48|10,356,019.28
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||10,933,962.20|
筹资活动现金流出小计||316,954,861.60|276,906,436.19
筹 资 活动 产生 的 现金 流量净额||663,201,061.43|58,176,460.99
四、汇率变动对现金及现金等价物的影响||-6,579,469.22|8,236,673.88
五、现金及现金等价物净增加额||172,654,721.31|83,900,509.02
加：期初现金及现金等价物余额||260,555,467.68|176,654,958.66
六、期末现金及现金等价物余额  五、50(3)||433,210,188.99|260,555,467.68
