page|169
项目|2020 年度|2019 年度
一、营业总收入|863,274,522.05|796,584,628.60
其中：营业收入|863,274,522.05|796,584,628.60
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|754,510,808.88|698,930,250.39
其中：营业成本|599,728,241.36|550,949,026.07
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|6,941,571.85|6,103,703.34
销售费用|44,095,605.66|43,417,141.15
管理费用|40,673,055.63|44,796,041.62
研发费用|56,705,480.63|46,174,469.89
财务费用|6,366,853.75|7,489,868.32
其中：利息费用|9,259,149.54|10,494,844.42
利息收入|3,661,775.21|2,693,430.77
加：其他收益|2,907,406.76|13,307,527.87
投资收益（损失以“－”号填||
page|170
列）||
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|189,897.96|1,864,027.10
资产减值损失（损失以“-”号填列）|-2,371,858.71|-3,036,179.36
资产处置收益（损失以“-”号填列）|-659,050.76|-554,231.37
三、营业利润（亏损以“－”号填列）|108,830,108.42|109,235,522.45
加：营业外收入|5,475,241.21|360,948.52
减：营业外支出|303,099.73|5,100.00
四、利润总额（亏损总额以“－”号填列）|114,002,249.90|109,591,370.97
减：所得税费用|10,562,797.15|10,643,824.92
五、净利润（净亏损以“－”号填列）|103,439,452.75|98,947,546.05
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|103,439,452.75|98,947,546.05
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|103,439,452.75|98,947,546.05
2.少数股东损益||
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
page|171
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|103,439,452.75|98,947,546.05
归属于母公司所有者的综合收益总额|103,439,452.75|98,947,546.05
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|0.82|0.85
（二）稀释每股收益|0.82|0.85
