page|93
项目|附注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,517,362,679.34|2,490,584,159.14
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
page|94
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|附注七、78|24,758,365.78|14,369,019.68
经营活动现金流入小计||2,542,121,045.12|2,504,953,178.82
购买商品、接受劳务支付的现金||1,513,163,927.39|1,505,947,339.82
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||203,353,881.96|191,083,603.86
支付的各项税费||145,919,826.78|151,362,714.82
支付其他与经营活动有关的现金|附注七、78|554,144,479.31|582,110,087.65
经营活动现金流出小计||2,416,582,115.44|2,430,503,746.15
经营活动产生的现金流量净额||125,538,929.68|74,449,432.67
二、投资活动产生的现金流量：|||
收回投资收到的现金||626,509.00|1,927,720.00
取得投资收益收到的现金||79,080,817.65|24,845,191.48
处置固定资产、无形资产和其他长期资产收回的现金净额||62,960.00|57,250.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|附注七、78|40,219,587.07|65,744,634.99
投资活动现金流入小计||119,989,873.72|92,574,796.47
购建固定资产、无形资产和其他长期资产支付的现金||45,582,217.23|69,314,468.08
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|附注七、78|239,235,760.33|5,000,000.00
投资活动现金流出小计||284,817,977.56|74,314,468.08
投资活动产生的现金流量净额||-164,828,103.84|18,260,328.39
三、筹资活动产生的现金流量：|||
page|95
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||48,000,000.00|
收到其他与筹资活动有关的现金|附注七、78|286,200.00|
筹资活动现金流入小计||48,286,200.00|
偿还债务支付的现金||28,000,000.00|
分配股利、利润或偿付利息支付的现金||32,135,587.77|31,263,518.76
其中：子公司支付给少数股东的股利、利润||1,000,000.00|
支付其他与筹资活动有关的现金|附注七、78|30,673,002.74|286,200.00
筹资活动现金流出小计||90,808,590.51|31,549,718.76
筹资活动产生的现金流量净额||-42,522,390.51|-31,549,718.76
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-81,811,564.67|61,160,042.30
加：期初现金及现金等价物余额||143,969,846.76|82,809,804.46
六、期末现金及现金等价物余额||62,158,282.09|143,969,846.76
