page|165
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|290,741,960.48|612,775,752.38
结算备付金||
拆出资金||
交易性金融资产||
衍生金融资产||
应收票据||
应收账款|117,639,048.44|230,401,399.30
应收款项融资|149,900,000.00|124,150,000.00
预付款项|8,269,958.87|8,885,480.29
page|166
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|18,603,747.88|24,157,784.70
其中：应收利息||
应收股利||
买入返售金融资产||
存货|50,150,551.66|54,078,233.39
合同资产|14,929,334.08|
持有待售资产||
一年内到期的非流动资产||
其他流动资产|38,126,177.45|38,778,787.83
流动资产合计|688,360,778.86|1,093,227,437.89
非流动资产：||
发放贷款和垫款||
债权投资||
其他债权投资||
长期应收款||
长期股权投资||
其他权益工具投资|6,500,000.00|11,000,000.00
其他非流动金融资产||
投资性房地产|3,285,198.19|3,655,431.07
固定资产|800,869,264.83|743,137,429.97
在建工程|897,708,084.75|965,666,169.86
生产性生物资产||
油气资产|1,764,297,853.70|1,225,973,291.63
使用权资产||
无形资产|2,528,425,790.35|2,615,803,425.87
开发支出||
商誉|396,178,329.78|396,178,329.78
长期待摊费用||1,112,213.85
递延所得税资产|2,194,726.34|3,538,259.15
其他非流动资产|42,025,910.86|44,159,309.55
非流动资产合计|6,441,485,158.80|6,010,223,860.73
page|167
资产总计|7,129,845,937.66|7,103,451,298.62
流动负债：||
短期借款|152,174,287.50|193,244,952.78
向中央银行借款||
拆入资金||
交易性金融负债||588,161.50
衍生金融负债||
应付票据|267,070,000.00|519,840,000.00
应付账款|93,232,749.73|96,380,780.57
预收款项|861,334.37|3,529,884.86
合同负债|4,202,525.20|
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|10,080,280.76|6,941,110.29
应交税费|28,503,408.34|37,790,324.66
其他应付款|596,421,105.19|582,308,245.32
其中：应付利息||
应付股利|88,852,407.73|88,852,407.73
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|3,287,671.19|126,027,760.38
其他流动负债|376,345,275.93|329,459,278.95
流动负债合计|1,532,178,638.21|1,896,110,499.31
非流动负债：||
保险合同准备金||
长期借款|900,000,000.00|600,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
page|168
长期应付职工薪酬||
预计负债|10,570,155.95|7,075,934.56
递延收益|3,423,016.42|14,393,016.42
递延所得税负债|378,535,125.96|390,833,456.51
其他非流动负债||
非流动负债合计|1,292,528,298.33|1,012,302,407.49
负债合计|2,824,706,936.54|2,908,412,906.80
所有者权益：||
股本|149,184,287.00|123,219,968.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,263,067,551.16|1,717,711,262.77
减：库存股||
其他综合收益|-3,375,000.00|
专项储备|9,851,876.35|8,944,351.81
盈余公积|15,544,839.06|15,544,839.06
一般风险准备||
未分配利润|310,189,080.69|209,210,995.11
归属于母公司所有者权益合计|2,744,462,634.26|2,074,631,416.75
少数股东权益|1,560,676,366.86|2,120,406,975.07
所有者权益合计|4,305,139,001.12|4,195,038,391.82
负债和所有者权益总计|7,129,845,937.66|7,103,451,298.62
