page|140
项目|附注|2020 年度|2019 年度
一、营业总收入||10,636,513,832.41|5,659,478,638.09
利息净收入|七、55|599,684,117.99|306,909,030.49
其中：利息收入||1,841,606,003.79|1,591,689,690.28
利息支出||1,241,921,885.80|1,284,780,659.79
手续费及佣金净收入|七、56|3,154,129,710.83|1,661,417,868.15
其中：经纪业务手续费净收入||1,468,887,009.17|898,253,561.47
投资银行业务手续费净收入||1,025,549,352.66|313,341,169.70
资产管理业务手续费净收入||338,953,149.20|266,290,148.62
投资收益（损失以“-”号填列）|七、57|2,117,320,763.78|1,202,340,275.81
其中：对联营企业和合营企业的投资收益||4,119,649.77|999,476.56
以摊余成本计量的金融资产终止确认产生的收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
其他收益|七、59|37,937,278.96|27,203,151.07
公允价值变动收益（损失以“-”号填列）|七、60|-630,263,475.26|142,051,074.92
汇兑收益（损失以“-”号填列）||-2,702,337.18|720,095.62
其他业务收入|七、61|5,330,514,860.81|2,315,723,473.15
资产处置收益（损失以“－”号填列）  七、62||29,892,912.48|3,113,668.88
二、营业总支出||8,463,506,322.25|4,364,298,969.49
税金及附加|七、63|47,460,625.83|33,230,165.30
业务及管理费|七、64|2,836,069,471.17|2,077,134,220.27
信用减值损失|七、65|184,877,299.82|-31,874,387.47
其他资产减值损失|七、66|15,672,812.46|2,000,000.00
其他业务成本|七、67|5,379,426,112.97|2,283,808,971.39
三、营业利润（亏损以“-”号填列）||2,173,007,510.16|1,295,179,668.60
加：营业外收入|七、68|7,785,033.04|1,779,844.75
减：营业外支出|七、69|14,684,240.55|8,157,081.50
四、利润总额（亏损总额以“-”号填列）||2,166,108,302.65|1,288,802,431.85
减：所得税费用|七、70|538,942,277.00|321,245,372.42
五、净利润（净亏损以“－”号填列）||1,627,166,025.65|967,557,059.43
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,627,166,025.65|967,557,059.43
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏||1,627,166,025.65|967,557,059.43
page|141
损以“-”号填列）|||
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|七、71|-2,348,681.07|921,536.31
归属母公司所有者的其他综合收益的税后净额||-2,348,681.07|921,536.31
（一）不能重分类进损益的其他综合收益|||
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动|||
4.企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||-2,348,681.07|921,536.31
1.权益法下可转损益的其他综合收益|||
2.其他债权投资公允价值变动|||
3.金融资产重分类计入其他综合收益的金额|||
4.其他债权投资信用损失准备|||
5.现金流量套期储备|||
6.外币财务报表折算差额||-2,348,681.07|921,536.31
7.其他|||
归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,624,817,344.58|968,478,595.74
归属于母公司所有者的综合收益总额||1,624,817,344.58|968,478,595.74
归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.47|0.29
（二）稀释每股收益(元/股)||0.47|0.29
