page|52
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金||604,103,645.79|510,514,535.80
结算备付金|||
拆出资金|||
交易性金融资产|||300,609,785.26
衍生金融资产|||
应收票据||214,873,326.71|
应收账款||563,454,123.81|617,449,727.61
应收款项融资||107,540,118.48|238,873,237.62
预付款项||35,999,718.65|19,109,288.81
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||10,647,803.52|7,782,230.94
其中：应收利息|||
应收股利|||
page|53
买入返售金融资产|||
存货||390,372,604.15|417,911,622.45
合同资产|||
持有待售资产|||
一年内到期的非流动资产||14,733,279.69|12,768,842.40
其他流动资产||2,106,634.75|3,379,220.14
流动资产合计||1,943,831,255.55|2,128,398,491.03
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款||110,346,076.60|118,407,115.34
长期股权投资||7,548,202.28|9,923,864.76
其他权益工具投资|||
其他非流动金融资产||315,682,155.25|
投资性房地产||30,712,916.93|28,450,314.00
固定资产||667,887,696.45|640,593,022.44
在建工程||23,450,134.43|82,242,579.17
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||115,950,617.92|110,500,598.90
开发支出|||
商誉||460,038.82|460,038.82
长期待摊费用||5,897,257.08|6,748,012.52
递延所得税资产||10,415,719.02|10,946,404.55
其他非流动资产||25,702,984.04|29,740,609.53
非流动资产合计||1,314,053,798.82|1,038,012,560.03
资产总计||3,257,885,054.37|3,166,411,051.06
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据||7,631,958.91|6,912,456.02
应付账款||343,696,176.44|350,134,922.36
预收款项||778,680.57|8,892,863.56
合同负债||15,056,181.91|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||5,663,498.85|10,313,584.79
应交税费||13,187,765.61|17,736,190.81
其他应付款||66,160,774.65|55,474,142.28
其中：应付利息|||
应付股利||11,721,198.38|2,177,739.07
page|54
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债||627,384.26|
流动负债合计||452,802,421.20|449,464,159.82
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||6,299,175.07|4,472,406.79
长期应付职工薪酬|||
预计负债|||456,898.42
递延收益||13,083,709.47|8,112,849.94
递延所得税负债||5,735,533.14|1,491,081.81
其他非流动负债|||
非流动负债合计||25,118,417.68|14,533,236.96
负债合计||477,920,838.88|463,997,396.78
所有者权益（或股东权益）：|||
实收资本（或股本）||404,311,320.00|404,311,320.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||820,484,630.97|820,484,630.97
减：库存股|||
其他综合收益|||
专项储备||4,906,141.03|4,242,099.59
盈余公积||244,674,549.15|232,327,190.80
一般风险准备|||
未分配利润||1,150,490,926.77|1,080,786,695.06
归属于母公司所有者权益（或股东权益）合计||2,624,867,567.92|2,542,151,936.42
少数股东权益||155,096,647.57|160,261,717.86
所有者权益（或股东权益）合计||2,779,964,215.49|2,702,413,654.28
负债和所有者权益（或股东权益）总计||3,257,885,054.37|3,166,411,051.06
