page|60
项目|附注|2020 年度|2019 年度
一、营业总收入||8,005,259,688.70|8,353,884,452.41
其中：营业收入||8,005,259,688.70|8,353,884,452.41
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||7,779,295,656.53|7,975,302,671.54
其中：营业成本||7,088,440,330.06|7,333,093,607.36
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||24,594,770.82|25,212,710.40
销售费用||505,744,616.87|364,011,069.60
管理费用||130,428,783.47|228,106,258.47
研发费用|||
财务费用||30,087,155.31|24,879,025.71
其中：利息费用||30,753,446.07|25,275,859.83
利息收入||-5,747,901.77|-4,146,307.51
加：其他收益||7,223,253.58|6,790,178.06
投资收益（损失以“－”号填列）|||
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
page|61
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-11,590,850.81|-21,066,052.45
资产减值损失（损失以“-”号填列）||-1,739,366.08|-717,000.00
资产处置收益（损失以“－”号填列）||284,534.38|140,438.18
三、营业利润（亏损以“－”号填列）||220,141,603.24|363,729,344.66
加：营业外收入||114,403.56|330,285.53
减：营业外支出||559,352.74|2,794,159.85
四、利润总额（亏损总额以“－”号填列）||219,696,654.06|361,265,470.34
减：所得税费用||74,739,456.60|93,965,379.77
五、净利润（净亏损以“－”号填列）||144,957,197.46|267,300,090.57
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||144,957,197.46|267,300,090.57
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||145,263,629.25|267,334,545.07
2.少数股东损益（净亏损以“-”号填列）||-306,431.79|-34,454.50
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||144,957,197.46|267,300,090.57
（一）归属于母公司所有者的综合收益总额||145,263,629.25|267,334,545.07
（二）归属于少数股东的综合收益总额||-306,431.79|-34,454.50
page|62
八、每股收益：|||
（一）基本每股收益(元/股)||0.2500|0.4610
（二）稀释每股收益(元/股)||0.2500|0.4610
