page|80
项目|2020 年度|2019 年度
一、营业总收入|1,548,632,508.79|1,418,269,645.18
其中：营业收入|1,548,632,508.79|1,418,269,645.18
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,473,792,335.67|1,327,369,302.41
其中：营业成本|1,258,287,350.52|1,121,491,156.11
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|10,837,216.89|9,938,233.33
销售费用|4,437,991.15|15,952,525.22
管理费用|99,879,685.75|81,091,941.21
研发费用|61,572,582.94|65,142,594.27
page|81
财务费用|38,777,508.42|33,752,852.27
其中：利息费用|32,832,524.03|35,669,763.77
利息收入|1,232,358.11|1,425,326.17
加：其他收益|11,899,219.37|13,600,065.47
投资收益（损失以“－”号填列）|5,214,433.52|21,346,353.98
其中：对联营企业和合营企业的投资收益|239,851.92|1,324,940.36
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|-5,120,060.00|217,145.00
信用减值损失（损失以“-”号填列）|-2,149,994.29|-2,880,643.73
资产减值损失（损失以“-”号填列）|-2,757,169.79|-11,004,915.80
资产处置收益（损失以“-”号填列）|1,102,246.43|-821,353.38
三、营业利润（亏损以“－”号填列）|83,028,848.36|111,356,994.31
加：营业外收入|11,453,373.39|430,244.62
减：营业外支出|1,231,925.43|12,721,768.00
四、利润总额（亏损总额以“－”号填列）|93,250,296.32|99,065,470.93
减：所得税费用|5,319,344.94|6,596,917.25
五、净利润（净亏损以“－”号填列）|87,930,951.38|92,468,553.68
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|87,930,951.38|92,468,553.68
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司股东的净利润|87,930,951.38|92,582,917.83
2.少数股东损益||-114,364.15
六、其他综合收益的税后净额||
page|82
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.金融资产重分类计入其他综合收益的金额||
4.其他债权投资信用减值准备||
5.现金流量套期储备||
6.外币财务报表折算差额||
7.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|87,930,951.38|92,468,553.68
归属于母公司所有者的综合收益总额|87,930,951.38|92,582,917.83
归属于少数股东的综合收益总额||-114,364.15
八、每股收益：||
（一）基本每股收益|0.23|0.25
（二）稀释每股收益|0.23|0.25
