page|86
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|688,262,979.32|368,412,708.54
结算备付金|||
拆出资金|||
交易性金融资产|七、2|768,361,657.53|
衍生金融资产|||
应收票据|七、4||117,401.00
应收账款|七、5|421,774,271.14|183,263,762.54
应收款项融资|七、6|25,668,284.30|98,075.50
预付款项|七、7|11,957,855.87|8,150,447.13
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|18,589,751.39|13,105,761.73
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|434,468,630.09|297,596,377.60
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|19,426,949.94|12,234,054.73
流动资产合计||2,388,510,379.58|882,978,588.77
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|988,297,960.66|746,204,555.09
在建工程|七、22|870,186,380.13|635,472,000.05
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|268,341,019.16|213,106,369.93
开发支出|||
商誉|||
长期待摊费用|七、29|220,258.56|433,725.56
递延所得税资产|||
page|87
其他非流动资产|七、31|76,494,090.20|18,734,592.09
非流动资产合计||2,203,539,708.71|1,613,951,242.72
资产总计||4,592,050,088.29|2,496,929,831.49
流动负债：|||
短期借款|七、32|100,086,111.11|
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|381,781,632.67|160,166,588.25
应付账款|七、36|513,985,239.64|219,872,084.39
预收款项|七、37||62,247,541.98
合同负债|七、38|91,138,390.58|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|42,544,023.30|32,052,011.35
应交税费|七、40|32,401,826.76|20,849,886.44
其他应付款|七、41|3,549,670.09|175,298.24
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43||279,952.00
其他流动负债|七、44|11,835,214.10|
流动负债合计||1,177,322,108.25|495,643,362.65
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|七、46||394,426,790.13
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|69,224,428.94|43,422,854.31
递延所得税负债|七、30|18,525,699.23|10,754,781.05
其他非流动负债|||
非流动负债合计||87,750,128.17|448,604,425.49
负债合计||1,265,072,236.42|944,247,788.14
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|447,038,482.00|400,602,423.00
其他权益工具|七、54||38,158,289.78
其中：优先股|||
page|88
永续债|||
资本公积|七、55|1,809,107,287.52|385,166,880.06
减：库存股|||
其他综合收益|七、57|140,616.84|105,117.99
专项储备|七、58|29,760,732.98|24,692,744.56
盈余公积|七、59|133,287,790.48|99,771,091.40
一般风险准备|||
未分配利润|七、60|903,486,010.81|604,185,496.56
归属于母公司所有者权益（或股东权益）合计||3,322,820,920.63|1,552,682,043.35
少数股东权益||4,156,931.24|
所有者权益（或股东权益）合计||3,326,977,851.87|1,552,682,043.35
负债和所有者权益（或股东权益）总计||4,592,050,088.29|2,496,929,831.49
