page|92
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日 （经重述）
流动资产：|||
货币资金|七、1|13,871,523,445|13,362,853,609
衍生金融资产|七、3|110,178,653|74,910,802
应收票据|七、4|8,325,965,654|5,555,422,272
应收账款|七、5|28,633,861,767|25,515,092,658
应收款项融资|七、6|1,255,887,993|1,364,578,834
预付款项|七、7|1,555,336,077|1,022,451,258
其他应收款|七、8|2,148,012,863|1,985,141,746
其中：应收利息||-|1,709,488
应收股利||50,000,000|-
存货|七、9|6,602,459,007|8,883,186,428
合同资产||29,678,153|24,157,003
一年内到期的非流动资产|七、12|478,681,793|503,039,957
其他流动资产|七、13|3,126,045,908|2,803,552,482
流动资产合计||66,137,631,313|61,094,387,049
非流动资产：|||
衍生金融资产|七、3|74,554,339|16,376,498
长期应收款|七、16|10,286,927,639|11,286,292,400
长期股权投资|七、17|22,224,738,792|20,615,919,544
其他权益工具投资|七、18|664,946,056|779,217,199
投资性房地产|七、20|647,470,539|671,710,155
固定资产|七、21|243,701,964,464|241,504,490,488
在建工程|七、22|51,579,694,944|36,685,281,497
使用权资产|七、25|6,812,966,364|5,792,451,425
无形资产|七、26|14,090,511,406|13,987,079,246
商誉|七、28|11,696,735,103|12,785,404,658
长期待摊费用||127,210,330|132,462,057
递延所得税资产|七、30|2,996,689,691|3,271,488,418
其他非流动资产|七、31|7,163,711,394|6,376,495,115
非流动资产合计||372,068,121,061|353,904,668,700
资产总计||438,205,752,374|414,999,055,749
流动负债：|||
短期借款|七、32|66,311,160,062|67,119,367,606
衍生金融负债|七、34|106,861,682|250,299,684
page|93
应付票据|七、35|1,181,836,586|3,318,713,095
应付账款|七、36|14,595,947,809|12,543,241,455
合同负债|七、38|2,903,295,902|2,706,529,095
应付职工薪酬|七、39|955,117,838|758,956,116
应交税费|七、40|2,044,868,790|2,104,038,268
其他应付款|七、41|26,088,007,806|21,511,424,338
一年内到期的非流动负债|七、43|34,228,813,571|22,057,138,321
其他流动负债|七、44|5,632,180,524|9,533,591,847
流动负债合计||154,048,090,570|141,903,299,825
非流动负债：|||
长期借款|七、45|112,077,394,506|116,308,739,979
衍生金融负债|七、34|188,139,392|200,408,483
应付债券|七、46|20,382,405,580|28,487,114,637
其中：优先股|||
永续债|||
租赁负债|七、47|3,774,175,853|4,368,159,555
长期应付款|七、48|655,227,903|711,161,672
长期应付职工薪酬||51,065,130|54,314,820
预计负债||12,181,164|50,504,883
递延收益|七、51|1,940,144,115|2,099,988,755
递延所得税负债|七、30|977,810,420|996,021,402
其他非流动负债|七、52|2,623,763,846|2,443,253,580
非流动负债合计||142,682,307,909|155,719,667,766
负债合计||296,730,398,479|297,622,967,591
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|15,698,093,359|15,698,093,359
其他权益工具|七、54|48,419,779,167|25,127,820,735
其中：优先股||-|-
永续债||48,419,779,167|25,127,820,735
资本公积|七、55|18,551,589,304|18,602,847,158
其他综合收益|七、57|-478,627,559|299,752,939
专项储备||73,076,887|84,203,046
盈余公积|七、59|8,186,274,738|8,186,274,738
未分配利润|七、60|31,248,352,384|30,598,179,829
归属于母公司所有者权益（或股东权益）合计||121,698,538,280|98,597,171,804
少数股东权益||19,776,815,615|18,778,916,354
所有者权益（或股东权益）合计||141,475,353,895|117,376,088,158
负债和所有者权益（或股东权益）总计||438,205,752,374|414,999,055,749
