page|127
项目|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：||
货币资金|55,334,057|64,611,973
结算备付金||
拆出资金||
交易性金融资产|2,493,233|482,768
衍生金融资产|874,167|1,065,079
应收票据||
应收账款|7,133,487|6,188,406
应收款项融资|1,059,227|974,213
预付款项|5,091,484|2,535,774
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|4,193,901|1,415,179
其中：应收利息||
应收股利||37,402
买入返售金融资产||
存货|40,181,880|34,550,680
合同资产||
持有待售资产||
一年内到期的非流动资产||
委托贷款||98,633
其他流动资产|3,544,331|4,096,395
流动资产合计|119,905,767|116,019,100
非流动资产：||
发放贷款和垫款||
page|128
衍生金融资产|3,118|96,705
债权投资||
其他债权投资||
长期应收款||
长期股权投资|2,705,600|2,346,506
其他权益工具投资|891,563|1,492,310
其他非流动金融资产||
投资性房地产|212,457|230,990
固定资产|27,177,684|24,439,091
在建工程|6,341,260|4,497,307
生产性生物资产||
油气资产||
使用权资产|274,450|279,739
无形资产|12,620,159|12,602,665
开发支出||
商誉|5,987,688|5,968,620
长期待摊费用|150,665|143,372
递延所得税资产|533,258|417,697
其他非流动资产|2,373,653|2,150,863
非流动资产合计|59,271,555|54,665,865
资产总计|179,177,322|170,684,965
流动负债：||
短期借款|62,383,285|73,442,024
向中央银行借款||
拆入资金||
交易性金融负债||
衍生金融负债|2,604,739|816,645
应付票据|1,076,107|4,600,836
应付账款|5,747,568|5,392,109
预收款项||
合同负债|4,611,743|3,443,189
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
page|129
代理承销证券款||
应付职工薪酬|1,264,475|1,067,476
应交税费|1,389,476|595,128
其他应付款|3,751,164|3,910,629
其中：应付利息||
应付股利|7,070|84,304
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|63,055|2,890,292
其他流动负债|2,803,040|2,503,048
流动负债合计|85,694,652|98,661,376
非流动负债：||
保险合同准备金||
长期借款|4,736,784|2,393,493
衍生金融负债|164,172|43,910
应付债券||
其中：优先股||
永续债||
租赁负债|184,017|175,926
长期应付款||
长期应付职工薪酬||
预计负债|11,266|
递延收益|481,666|392,485
递延所得税负债|327,176|284,631
其他非流动负债|84,122|258,297
非流动负债合计|5,989,203|3,548,742
负债合计|91,683,855|102,210,118
所有者权益：||
股本|5,421,592|4,879,432
其他权益工具||
其中：优先股||
永续债||
资本公积|36,894,882|24,685,640
page|130
减：库存股||
其他综合收益|600,382|618,240
专项储备||
盈余公积|1,219,629|510,039
一般风险准备||
未分配利润|39,397,115|34,105,831
归属于母公司所有者权益合计|83,533,600|64,799,182
少数股东权益|3,959,867|3,675,665
所有者权益合计|87,493,467|68,474,847
负债和所有者权益总计|179,177,322|170,684,965
