page|72
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|826,989,132.41|276,011,993.94
结算备付金|||
拆出资金|||
交易性金融资产|七、2|57,960,000.00|58,541,041.10
衍生金融资产|||
应收票据|七、4|552,839,380.23|365,953,827.24
应收账款|七、5|895,498,413.36|583,113,384.01
应收款项融资|七、6|100,162,134.77|54,331,279.31
预付款项|七、7|25,434,752.01|6,498,046.54
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|12,772,138.24|8,317,884.72
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|214,624,114.99|201,137,121.47
合同资产|七、10|7,005,132.11|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|405,297.58|520,816,215.63
流动资产合计||2,693,690,495.70|2,074,720,793.96
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、21|233,987,080.07|129,630,969.55
在建工程|七、22|104,441,493.47|87,888,867.02
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|25,593,173.39|25,382,850.35
开发支出|||
商誉|||
长期待摊费用|七、29|677,442.80|246,132.18
递延所得税资产|七、30|20,253,226.18|15,459,848.51
page|73
其他非流动资产|七、31|77,448,375.05|26,303,730.24
非流动资产合计||462,400,790.96|284,912,397.85
资产总计||3,156,091,286.66|2,359,633,191.81
流动负债：|||
短期借款|七、32|132,000,000.00|64,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|七、35|117,355,221.15|
应付账款|七、36|186,922,317.79|97,876,567.20
预收款项|||1,466,559.41
合同负债|七、38|3,794,618.98|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|71,535,310.48|50,415,325.93
应交税费|七、40|31,038,428.96|14,078,970.61
其他应付款|七、41|1,443,950.55|860,926.90
其中：应付利息||151,527.63|141,725.07
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||2,000,000.00
其他流动负债|||
流动负债合计||544,089,847.91|230,698,350.05
非流动负债：|||
保险合同准备金|||
长期借款|||28,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|20,378,778.08|18,553,908.68
递延所得税负债|七、30|3,924,638.04|2,498,121.14
其他非流动负债|||
非流动负债合计||24,303,416.12|49,052,029.82
负债合计||568,393,264.03|279,750,379.87
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|231,476,000.00|165,340,000.00
其他权益工具|||
其中：优先股|||
page|74
永续债|||
资本公积|七、55|1,261,372,752.04|1,303,415,418.71
减：库存股|||
其他综合收益|七、57|-1,293,718.58|-600,336.94
专项储备|||
盈余公积|七、59|115,738,000.00|74,316,502.49
一般风险准备|||
未分配利润|七、60|980,404,989.17|537,411,227.68
归属于母公司所有者权益（或股东权益）合计||2,587,698,022.63|2,079,882,811.94
少数股东权益|||
所有者权益（或股东权益）合计||2,587,698,022.63|2,079,882,811.94
负债和所有者权益（或股东权益）总计||3,156,091,286.66|2,359,633,191.81
